kind,P,N,rep,wall_s,comm_s
strong,1,2048,1,47.682716,0.000000
strong,1,2048,2,47.643593,0.000000
strong,1,2048,3,47.600071,0.000000
strong,1,2048,4,47.431746,0.000000
strong,1,2048,5,47.404403,0.000000
strong,1,2048,6,47.369886,0.000000
strong,1,2048,7,47.026446,0.000000
strong,1,2048,8,47.116027,0.000000
strong,1,2048,9,47.153890,0.000000
strong,1,2048,10,46.998157,0.000000
strong,1,2048,11,46.941513,0.000000
strong,1,2048,12,46.912718,0.000000
strong,1,2048,13,46.902880,0.000000
strong,1,2048,14,46.900633,0.000000
strong,1,2048,15,46.906207,0.000000
strong,1,2048,16,46.918788,0.000000
strong,1,2048,17,46.877981,0.000000
strong,1,2048,18,46.981878,0.000000
strong,1,2048,19,46.944478,0.000000
strong,1,2048,20,46.958448,0.000000
strong,1,2048,21,46.907476,0.000000
strong,1,2048,22,46.849698,0.000000
strong,1,2048,23,46.928857,0.000000
strong,1,2048,24,46.873336,0.000000
strong,1,2048,25,46.904036,0.000000
strong,1,2048,26,46.973633,0.000000
strong,1,2048,27,46.910568,0.000000
strong,1,2048,28,46.903405,0.000000
strong,1,2048,29,46.915965,0.000000
strong,1,2048,30,46.880303,0.000000
strong,1,2048,31,46.926250,0.000000
strong,2,2048,1,23.600943,0.141086
strong,2,2048,2,23.690273,0.144369
strong,2,2048,3,23.564472,0.116583
strong,2,2048,4,23.591084,0.121373
strong,2,2048,5,23.596282,0.134947
strong,2,2048,6,23.626191,0.148321
strong,2,2048,7,23.604737,0.131619
strong,2,2048,8,23.592976,0.114779
strong,2,2048,9,23.561189,0.125800
strong,2,2048,10,23.580197,0.119015
strong,2,2048,11,23.574487,0.119669
strong,2,2048,12,23.586057,0.121446
strong,2,2048,13,23.593639,0.127178
strong,2,2048,14,23.603510,0.105871
strong,2,2048,15,23.647422,0.166406
strong,2,2048,16,23.577902,0.119612
strong,2,2048,17,23.550484,0.099436
strong,2,2048,18,23.625127,0.159717
strong,2,2048,19,23.577961,0.119292
strong,2,2048,20,23.597910,0.127706
strong,2,2048,21,23.599452,0.130881
strong,2,2048,22,23.627304,0.144953
strong,2,2048,23,23.668431,0.167144
strong,2,2048,24,23.640673,0.149197
strong,2,2048,25,23.599396,0.120441
strong,2,2048,26,23.632968,0.136792
strong,2,2048,27,23.594505,0.129086
strong,2,2048,28,23.605873,0.130868
strong,2,2048,29,23.596479,0.128439
strong,2,2048,30,23.597625,0.129581
strong,2,2048,31,23.592418,0.130465
strong,4,2048,1,12.345103,0.422722
strong,4,2048,2,12.271232,0.372457
strong,4,2048,3,12.238329,0.358274
strong,4,2048,4,12.636632,0.646607
strong,4,2048,5,12.202328,0.344986
strong,4,2048,6,12.282043,0.387967
strong,4,2048,7,12.252183,0.368974
strong,4,2048,8,12.238905,0.348059
strong,4,2048,9,12.211860,0.353279
strong,4,2048,10,13.029956,0.898415
strong,4,2048,11,12.208702,0.322341
strong,4,2048,12,12.145116,0.267965
strong,4,2048,13,12.184362,0.332541
strong,4,2048,14,12.165175,0.325017
strong,4,2048,15,12.724440,0.715470
strong,4,2048,16,12.239978,0.353282
strong,4,2048,17,12.724332,0.706645
strong,4,2048,18,12.191888,0.322701
strong,4,2048,19,12.266204,0.371624
strong,4,2048,20,12.250008,0.363275
strong,4,2048,21,12.279182,0.366263
strong,4,2048,22,12.254257,0.351947
strong,4,2048,23,12.329262,0.402573
strong,4,2048,24,12.360624,0.421835
strong,4,2048,25,12.317229,0.397678
strong,4,2048,26,12.334801,0.395712
strong,4,2048,27,12.356032,0.416717
strong,4,2048,28,12.402706,0.432385
strong,4,2048,29,12.357960,0.403537
strong,4,2048,30,12.328729,0.400066
strong,4,2048,31,12.303109,0.386824
strong,8,2048,1,6.239349,0.274368
strong,8,2048,2,6.351479,0.325831
strong,8,2048,3,6.376057,0.351767
strong,8,2048,4,6.489036,0.494554
strong,8,2048,5,6.226922,0.263637
strong,8,2048,6,6.260400,0.278923
strong,8,2048,7,6.252938,0.281651
strong,8,2048,8,6.312372,0.325111
strong,8,2048,9,6.260998,0.293310
strong,8,2048,10,6.239684,0.272251
strong,8,2048,11,6.323612,0.347009
strong,8,2048,12,6.266064,0.282535
strong,8,2048,13,6.453224,0.440977
strong,8,2048,14,6.246924,0.268187
strong,8,2048,15,6.225690,0.258433
strong,8,2048,16,6.193725,0.244799
strong,8,2048,17,6.244315,0.269680
strong,8,2048,18,6.262050,0.284481
strong,8,2048,19,6.888417,0.793846
strong,8,2048,20,6.862501,0.800408
strong,8,2048,21,6.299390,0.311640
strong,8,2048,22,6.455161,0.466405
strong,8,2048,23,6.243397,0.278965
strong,8,2048,24,6.277192,0.280148
strong,8,2048,25,6.274439,0.280330
strong,8,2048,26,6.341780,0.355374
strong,8,2048,27,6.211082,0.253461
strong,8,2048,28,6.215742,0.255192
strong,8,2048,29,6.267438,0.294806
strong,8,2048,30,6.144945,0.218814
strong,8,2048,31,6.177930,0.233261
strong,16,2048,1,3.722792,0.569137
strong,16,2048,2,3.566553,0.421808
strong,16,2048,3,3.364251,0.296855
strong,16,2048,4,3.457392,0.371775
strong,16,2048,5,3.488123,0.402289
strong,16,2048,6,3.532995,0.448184
strong,16,2048,7,3.824736,0.724955
strong,16,2048,8,3.595800,0.491082
strong,16,2048,9,3.377610,0.321567
strong,16,2048,10,3.231731,0.208095
strong,16,2048,11,3.912686,0.794952
strong,16,2048,12,3.771581,0.679419
strong,16,2048,13,3.455283,0.368410
strong,16,2048,14,3.427163,0.342424
strong,16,2048,15,3.620835,0.515063
strong,16,2048,16,3.361815,0.313365
strong,16,2048,17,3.400147,0.322912
strong,16,2048,18,3.569099,0.435983
strong,16,2048,19,3.541767,0.434611
strong,16,2048,20,3.561682,0.380186
strong,16,2048,21,3.609420,0.501518
strong,16,2048,22,3.501963,0.444889
strong,16,2048,23,3.496489,0.423657
strong,16,2048,24,3.302290,0.248036
strong,16,2048,25,3.466641,0.364056
strong,16,2048,26,3.487237,0.389591
strong,16,2048,27,3.474497,0.380671
strong,16,2048,28,3.651751,0.550759
strong,16,2048,29,3.610957,0.518738
strong,16,2048,30,3.281171,0.233788
strong,16,2048,31,3.491948,0.413757
strong,24,2048,1,2.670212,0.424714
strong,24,2048,2,2.793603,0.526471
strong,24,2048,3,2.636488,0.443223
strong,24,2048,4,2.678303,0.457557
strong,24,2048,5,2.634695,0.421526
strong,24,2048,6,2.647241,0.429102
strong,24,2048,7,2.840288,0.619776
strong,24,2048,8,2.563195,0.354523
strong,24,2048,9,2.700082,0.494360
strong,24,2048,10,2.718215,0.485705
strong,24,2048,11,2.520724,0.324245
strong,24,2048,12,2.713565,0.442611
strong,24,2048,13,2.613516,0.406328
strong,24,2048,14,2.664758,0.465651
strong,24,2048,15,2.749458,0.519527
strong,24,2048,16,2.552958,0.390356
strong,24,2048,17,2.612943,0.394001
strong,24,2048,18,2.807810,0.540658
strong,24,2048,19,2.701902,0.496237
strong,24,2048,20,2.613032,0.406122
strong,24,2048,21,2.671444,0.450729
strong,24,2048,22,2.713450,0.490548
strong,24,2048,23,2.570597,0.391631
strong,24,2048,24,2.648224,0.433640
strong,24,2048,25,2.657461,0.459569
strong,24,2048,26,2.568619,0.372421
strong,24,2048,27,2.661520,0.420392
strong,24,2048,28,2.672073,0.467306
strong,24,2048,29,2.656468,0.413985
strong,24,2048,30,2.790291,0.540914
strong,24,2048,31,2.618717,0.409736
strong,32,2048,1,2.121706,0.350449
strong,32,2048,2,2.156848,0.378540
strong,32,2048,3,1.954440,0.163396
strong,32,2048,4,1.928638,0.168953
strong,32,2048,5,2.138540,0.375978
strong,32,2048,6,2.195851,0.406854
strong,32,2048,7,1.929377,0.162455
strong,32,2048,8,1.959100,0.169059
strong,32,2048,9,2.194500,0.398469
strong,32,2048,10,1.916861,0.166015
strong,32,2048,11,1.959341,0.178489
strong,32,2048,12,1.968565,0.182208
strong,32,2048,13,2.296443,0.507312
strong,32,2048,14,1.943842,0.184845
strong,32,2048,15,1.942536,0.172191
strong,32,2048,16,2.104749,0.318814
strong,32,2048,17,2.084342,0.310957
strong,32,2048,18,1.949919,0.161736
strong,32,2048,19,2.053091,0.287423
strong,32,2048,20,2.219602,0.437195
strong,32,2048,21,1.978926,0.178449
strong,32,2048,22,2.096149,0.296624
strong,32,2048,23,1.996076,0.231600
strong,32,2048,24,1.937896,0.175927
strong,32,2048,25,1.971896,0.175093
strong,32,2048,26,1.939280,0.166505
strong,32,2048,27,1.950067,0.172094
strong,32,2048,28,2.200442,0.415836
strong,32,2048,29,2.227240,0.472084
strong,32,2048,30,1.913797,0.167145
strong,32,2048,31,2.057319,0.286182
