kind,P,N,rep,wall_s,comm_s
size,16,108,1,0.069168,0.029253
size,16,108,2,0.069312,0.029247
size,16,108,3,0.068512,0.028820
size,16,108,4,0.071979,0.030226
size,16,108,5,0.068395,0.028919
size,16,108,6,0.068741,0.028973
size,16,108,7,0.069405,0.029318
size,16,108,8,0.067536,0.028366
size,16,108,9,0.071459,0.029777
size,16,108,10,0.068917,0.028879
size,16,108,11,0.069736,0.029652
size,16,108,12,0.067986,0.028552
size,16,108,13,0.070016,0.029697
size,16,108,14,0.068989,0.029134
size,16,108,15,0.068719,0.028923
size,16,108,16,0.069654,0.029336
size,16,108,17,0.068156,0.028592
size,16,108,18,0.068821,0.028897
size,16,108,19,0.068911,0.028887
size,16,108,20,0.069597,0.029384
size,16,108,21,0.069026,0.029042
size,16,108,22,0.070043,0.029600
size,16,108,23,0.069463,0.029340
size,16,108,24,0.069119,0.029157
size,16,108,25,0.068032,0.028333
size,16,108,26,0.069329,0.029272
size,16,108,27,0.069269,0.029245
size,16,108,28,0.068359,0.028765
size,16,108,29,0.069275,0.029103
size,16,108,30,0.068323,0.028586
size,16,108,31,0.069557,0.029253
size,16,256,1,0.369994,0.069445
size,16,256,2,0.362871,0.067748
size,16,256,3,0.363479,0.068308
size,16,256,4,0.362547,0.067285
size,16,256,5,0.363569,0.068040
size,16,256,6,0.362143,0.066952
size,16,256,7,0.362760,0.067094
size,16,256,8,0.362720,0.067391
size,16,256,9,0.363766,0.067545
size,16,256,10,0.363418,0.067808
size,16,256,11,0.363703,0.067584
size,16,256,12,0.363917,0.068103
size,16,256,13,0.366831,0.067875
size,16,256,14,0.362534,0.067088
size,16,256,15,0.363810,0.067092
size,16,256,16,0.363684,0.067851
size,16,256,17,0.363911,0.067632
size,16,256,18,0.364894,0.068088
size,16,256,19,0.367855,0.068506
size,16,256,20,0.365463,0.068991
size,16,256,21,0.361909,0.067028
size,16,256,22,0.365435,0.068818
size,16,256,23,0.367755,0.067997
size,16,256,24,0.363323,0.067638
size,16,256,25,0.361886,0.067012
size,16,256,26,0.364922,0.067890
size,16,256,27,0.364891,0.068137
size,16,256,28,0.363495,0.067876
size,16,256,29,0.364065,0.067090
size,16,256,30,0.362816,0.066830
size,16,256,31,0.361573,0.066413
size,16,500,1,1.420002,0.202762
size,16,500,2,1.431802,0.208706
size,16,500,3,1.434696,0.216912
size,16,500,4,1.424755,0.205529
size,16,500,5,1.424488,0.206814
size,16,500,6,1.433242,0.210590
size,16,500,7,1.422347,0.204432
size,16,500,8,1.424617,0.205519
size,16,500,9,1.423726,0.206741
size,16,500,10,1.420807,0.205604
size,16,500,11,1.421092,0.204355
size,16,500,12,1.426395,0.205682
size,16,500,13,1.435162,0.211403
size,16,500,14,1.431036,0.210320
size,16,500,15,1.435310,0.210293
size,16,500,16,1.433018,0.213480
size,16,500,17,1.432993,0.211144
size,16,500,18,1.429823,0.211473
size,16,500,19,1.435439,0.213308
size,16,500,20,1.432074,0.211201
size,16,500,21,1.439422,0.214683
size,16,500,22,1.430906,0.210491
