# mode: lj, integrator: verlet, N: 864, P: 1, dt: 1e-14, steps: 100, n_steps: 100, n_frames: 101, step_indexing: 0..steps (includes initial frame), total_steps_executed: 150, seed: 42, L: 3.47786e-09, rcut: 7.65e-10, target_temperature: 94.4, equilibration_steps: 50, production_steps: 100, production_start_step: 0, final_rescale_before_production: true, final_rescale_applied: true, production_nve: true, gr_discard_steps: 200, gr_sample_every: 5, gr_start: 200, startup_temperature_before_final_rescale: 94.3304820914353, startup_temperature_after_final_rescale: 94.3999999999999, lattice: FCC, velocities: Box-Muller, timestamp: 2026-03-12T14:18:40Z
step,time,E_kin,E_pot,E_total,temperature
0,0,1.687164123192e-18,-7.47194927673327e-18,-5.78478515354127e-18,94.3999999999999
1,1e-14,1.68447578135402e-18,-7.46869101577965e-18,-5.78421523442563e-18,94.2495822273502
2,2e-14,1.68047549629074e-18,-7.46552676001374e-18,-5.785051263723e-18,94.0257587683381
3,3e-14,1.675573444974e-18,-7.46109573619852e-18,-5.78552229122451e-18,93.7514797945626
4,4e-14,1.67031939809281e-18,-7.45631122530418e-18,-5.78599182721137e-18,93.4575060081558
5,5e-14,1.66525309392627e-18,-7.4517277580709e-18,-5.78647466414462e-18,93.1740367790827
6,6e-14,1.66078214268927e-18,-7.44785276849725e-18,-5.78707062580798e-18,92.9238786640709
7,7e-14,1.65716146413624e-18,-7.44493273747193e-18,-5.78777127333569e-18,92.7212949019414
8,8e-14,1.65460549217326e-18,-7.44220587967241e-18,-5.78760038749915e-18,92.5782834722954
9,9e-14,1.6534278355732e-18,-7.44166241106346e-18,-5.78823457549026e-18,92.5123913747115
10,1e-13,1.65412668053239e-18,-7.44185951670639e-18,-5.787732836174e-18,92.5514930621171
11,1.1e-13,1.65729060008612e-18,-7.44519272334869e-18,-5.78790212326257e-18,92.7285203007637
12,1.2e-13,1.66337658189259e-18,-7.45121991594431e-18,-5.78784333405171e-18,93.0690424080288
13,1.3e-13,1.67243894775827e-18,-7.46066468725163e-18,-5.78822573949336e-18,93.5760987909616
14,1.4e-13,1.68396198202923e-18,-7.47224354282028e-18,-5.78828156079106e-18,94.2208341905744
15,1.5e-13,1.69693087203493e-18,-7.48574394643747e-18,-5.78881307440254e-18,94.9464679328459
16,1.6e-13,1.71004835930324e-18,-7.49863361001208e-18,-5.78858525070884e-18,95.6804159709217
17,1.7e-13,1.72204246107605e-18,-7.51038292801882e-18,-5.78834046694277e-18,96.3515084815964
18,1.8e-13,1.7319859370743e-18,-7.52014405717191e-18,-5.78815812009761e-18,96.9078646305516
19,1.9e-13,1.73943052715559e-18,-7.52748093519146e-18,-5.78805040803587e-18,97.3244034213032
20,2e-13,1.74437066635724e-18,-7.53138155080625e-18,-5.78701088444901e-18,97.6008134837421
21,2.1e-13,1.74710459181087e-18,-7.53494587371041e-18,-5.78784128189955e-18,97.7537817452612
22,2.2e-13,1.7480215327952e-18,-7.53528197899023e-18,-5.78726044619504e-18,97.8050863147046
23,2.3e-13,1.74742061897183e-18,-7.53552700056767e-18,-5.78810638159584e-18,97.7714640581936
24,2.4e-13,1.74550899555745e-18,-7.5337051750981e-18,-5.78819617954065e-18,97.6645051394753
25,2.5e-13,1.74247299270064e-18,-7.53152236931637e-18,-5.78904937661573e-18,97.4946350801591
26,2.6e-13,1.73848649862319e-18,-7.52773313127077e-18,-5.78924663264758e-18,97.2715832526938
27,2.7e-13,1.73367522014907e-18,-7.52241513584086e-18,-5.78873991569178e-18,97.0023831898707
28,2.8e-13,1.72806293984258e-18,-7.51757447856569e-18,-5.78951153872311e-18,96.6883655708081
29,2.9e-13,1.72154970390465e-18,-7.51082018075638e-18,-5.78927047685172e-18,96.3239377928053
30,3e-13,1.7139722306459e-18,-7.5023855342226e-18,-5.7884133035767e-18,95.8999639388139
31,3.1e-13,1.70529887922345e-18,-7.49400830958687e-18,-5.78870943036342e-18,95.4146736442749
32,3.2e-13,1.69577237052573e-18,-7.48450826870903e-18,-5.7887358981833e-18,94.8816475985553
33,3.3e-13,1.68590120501955e-18,-7.47500978017349e-18,-5.78910857515394e-18,94.3293373573797
34,3.4e-13,1.67634845633446e-18,-7.46511942093019e-18,-5.78877096459574e-18,93.7948431351062
35,3.5e-13,1.6677929659191e-18,-7.45556989390052e-18,-5.78777692798142e-18,93.3161473851741
36,3.6e-13,1.66083877639135e-18,-7.44858603902785e-18,-5.7877472626365e-18,92.9270474260208
37,3.7e-13,1.65600850014213e-18,-7.44317686152286e-18,-5.78716836138073e-18,92.6567844020156
38,3.8e-13,1.65372773163601e-18,-7.4401241469861e-18,-5.78639641535008e-18,92.5291711224197
39,3.9e-13,1.65418403315184e-18,-7.44003268636633e-18,-5.78584865321449e-18,92.5547020488435
40,4e-13,1.65718453956044e-18,-7.44352897663574e-18,-5.7863444370753e-18,92.722586015245
41,4.1e-13,1.66213404395564e-18,-7.44737086246313e-18,-5.78523681850749e-18,92.9995200778442
