kind,P,N,rep,wall_s,comm_s
size,16,108,1,0.071550,0.029931
size,16,108,2,0.106055,0.057164
size,16,108,3,0.072791,0.030603
size,16,108,4,0.110963,0.064071
size,16,108,5,0.072427,0.030300
size,16,108,6,0.073799,0.030805
size,16,108,7,0.101493,0.057080
size,16,108,8,0.088367,0.045131
size,16,108,9,0.094066,0.050162
size,16,108,10,0.110394,0.060793
size,16,108,11,0.101828,0.051806
size,16,108,12,0.103116,0.056529
size,16,108,13,0.107412,0.061558
size,16,108,14,0.095423,0.051453
size,16,108,15,0.111680,0.063268
size,16,108,16,0.109758,0.062600
size,16,108,17,0.107427,0.062062
size,16,108,18,0.111107,0.064970
size,16,108,19,0.109976,0.064154
size,16,108,20,0.113780,0.061278
size,16,108,21,0.111560,0.059026
size,16,108,22,0.111470,0.057019
size,16,108,23,0.111441,0.057296
size,16,108,24,0.162319,0.103642
size,16,108,25,0.100867,0.054671
size,16,108,26,0.108936,0.061722
size,16,108,27,0.173634,0.115865
size,16,108,28,0.112964,0.058061
size,16,108,29,0.113965,0.063336
size,16,108,30,0.163764,0.100799
size,16,108,31,0.112046,0.058003
size,16,256,1,0.618779,0.217109
size,16,256,2,0.615856,0.199711
size,16,256,3,0.617153,0.224178
size,16,256,4,0.615247,0.208172
size,16,256,5,0.641522,0.207606
size,16,256,6,0.621091,0.202165
size,16,256,7,0.614545,0.248447
size,16,256,8,0.649842,0.297909
size,16,256,9,0.617042,0.237712
size,16,256,10,0.603585,0.231861
size,16,256,11,0.589450,0.237857
size,16,256,12,0.557364,0.242251
size,16,256,13,0.618910,0.241106
size,16,256,14,0.609178,0.237697
size,16,256,15,0.626414,0.258773
size,16,256,16,0.631811,0.300548
size,16,256,17,0.614704,0.242565
size,16,256,18,0.612630,0.240110
size,16,256,19,0.619813,0.228771
size,16,256,20,0.612732,0.199405
size,16,256,21,0.612883,0.248927
size,16,256,22,0.610837,0.248668
size,16,256,23,0.626214,0.265948
size,16,256,24,0.667763,0.269849
size,16,256,25,0.655191,0.290968
size,16,256,26,0.606618,0.230106
size,16,256,27,0.614888,0.268831
size,16,256,28,0.617057,0.255578
size,16,256,29,0.596318,0.267910
size,16,256,30,0.560639,0.244256
size,16,256,31,0.609607,0.247860
size,16,500,1,2.323739,1.000088
size,16,500,2,1.939777,0.643498
size,16,500,3,1.687044,0.425194
size,16,500,4,1.851745,0.586145
size,16,500,5,1.678053,0.423150
size,16,500,6,1.703016,0.446121
size,16,500,7,1.749755,0.498765
size,16,500,8,2.205055,0.880816
size,16,500,9,1.688522,0.424901
size,16,500,10,1.831503,0.553881
size,16,500,11,1.706968,0.449948
size,16,500,12,1.896775,0.625232
size,16,500,13,2.188482,0.894503
size,16,500,14,1.743683,0.483453
size,16,500,15,1.750661,0.477972
size,16,500,16,1.676641,0.403689
size,16,500,17,1.560247,0.330850
size,16,500,18,2.367475,1.038695
size,16,500,19,1.765278,0.493946
size,16,500,20,1.652800,0.396551
size,16,500,21,1.756577,0.486676
size,16,500,22,1.718487,0.474630
size,16,500,23,2.095901,0.754215
size,16,500,24,1.654571,0.388464
size,16,500,25,1.601107,0.361515
size,16,500,26,1.737233,0.469601
size,16,500,27,1.485991,0.253849
size,16,500,28,1.753693,0.503267
size,16,500,29,2.136258,0.849364
size,16,500,30,1.660862,0.413991
size,16,500,31,1.449677,0.221992
size,16,864,1,4.562370,0.981069
size,16,864,2,4.086078,0.611404
size,16,864,3,4.233413,0.671162
size,16,864,4,4.594392,0.997467
size,16,864,5,4.201989,0.686485
size,16,864,6,4.172076,0.679496
size,16,864,7,4.219277,0.705518
size,16,864,8,4.041618,0.574065
size,16,864,9,4.250105,0.698763
size,16,864,10,4.150638,0.653191
size,16,864,11,4.574842,1.026867
size,16,864,12,4.138476,0.664719
size,16,864,13,4.135398,0.605701
size,16,864,14,4.395175,0.850452
size,16,864,15,4.269864,0.715924
size,16,864,16,4.150162,0.657367
size,16,864,17,4.050277,0.549924
size,16,864,18,4.113526,0.619333
size,16,864,19,4.203324,0.712987
size,16,864,20,4.739016,1.209475
size,16,864,21,4.122776,0.630694
size,16,864,22,4.145787,0.655401
size,16,864,23,4.084425,0.621138
size,16,864,24,4.131209,0.656077
size,16,864,25,4.206130,0.707754
size,16,864,26,4.122658,0.638261
size,16,864,27,4.493045,0.912111
size,16,864,28,4.836934,1.222994
size,16,864,29,4.282181,0.762593
size,16,864,30,4.168420,0.656899
size,16,864,31,4.554909,1.020657
size,16,1372,1,9.552764,1.109958
size,16,1372,2,10.038339,1.489570
size,16,1372,3,9.912435,1.442874
size,16,1372,4,9.344206,0.935751
size,16,1372,5,10.159737,1.580360
size,16,1372,6,9.530726,1.086275
size,16,1372,7,10.001312,1.570670
size,16,1372,8,9.498267,1.004562
size,16,1372,9,9.542593,1.120612
size,16,1372,10,9.529237,1.084898
size,16,1372,11,9.305000,0.959903
size,16,1372,12,9.378765,1.017856
size,16,1372,13,9.486877,1.030816
size,16,1372,14,9.483873,1.082329
size,16,1372,15,9.470719,1.008388
size,16,1372,16,9.492809,1.081567
size,16,1372,17,9.332497,0.936898
size,16,1372,18,9.544658,1.115181
size,16,1372,19,9.440205,1.012321
size,16,1372,20,9.949440,1.509455
size,16,1372,21,9.265084,0.929051
size,16,1372,22,9.499385,1.113917
size,16,1372,23,9.404962,1.017877
size,16,1372,24,9.485315,1.013026
size,16,1372,25,9.889468,1.375272
size,16,1372,26,9.975077,1.485913
size,16,1372,27,9.749331,1.339020
size,16,1372,28,9.450081,1.016175
size,16,1372,29,9.454208,1.017555
size,16,1372,30,9.463439,1.001882
size,16,1372,31,9.577872,1.080367
size,16,2048,1,20.208540,2.194864
size,16,2048,2,20.046298,2.061034
size,16,2048,3,19.167644,1.482800
size,16,2048,4,19.380759,1.522831
size,16,2048,5,19.438555,1.627603
size,16,2048,6,19.543973,1.684397
size,16,2048,7,19.894462,2.014343
size,16,2048,8,19.321084,1.541023
size,16,2048,9,19.425223,1.624085
size,16,2048,10,19.402817,1.581819
size,16,2048,11,19.831958,1.933709
size,16,2048,12,19.672434,1.738131
size,16,2048,13,19.628956,1.719038
size,16,2048,14,19.547921,1.611620
size,16,2048,15,19.881380,2.026949
size,16,2048,16,19.461835,1.543910
size,16,2048,17,19.297212,1.443991
size,16,2048,18,19.389574,1.549456
size,16,2048,19,19.323349,1.518208
size,16,2048,20,19.511752,1.635091
size,16,2048,21,19.700970,1.864369
size,16,2048,22,19.974271,2.052869
size,16,2048,23,19.580846,1.610877
size,16,2048,24,20.152583,2.145151
size,16,2048,25,19.305340,1.526886
