# mode: ho, integrator: euler, N: 1, P: 1, dt: 0.05, steps: 200, n_steps: 200, n_frames: 201, step_indexing: 0..steps (includes initial frame), total_steps_executed: 200, seed: 42, L: 10000000000, rcut: 7.65e-10, target_temperature: 94.4, equilibration_steps: 0, production_steps: 200, production_start_step: 0, final_rescale_before_production: true, final_rescale_applied: false, production_nve: false, gr_discard_steps: 200, gr_sample_every: 5, gr_start: 200, timestamp: 2026-03-07T20:15:42Z
step,time,x,v,E_kin,E_pot,E_total
0,0,1,0,0,3.34521325e-26,3.34521325e-26
1,0.05,1,-0.05,8.363033125e-29,3.34521325e-26,3.353576283125e-26
2,0.1,0.9975,-0.1,3.34521325e-28,3.32850809133281e-26,3.36196022383281e-26
3,0.15,0.9925,-0.149875,7.5141904897082e-28,3.29522321949531e-26,3.37036512439239e-26
4,0.2,0.98500625,-0.1995,1.33140323653313e-27,3.24565071355006e-26,3.37879103720338e-26
5,0.25,0.97503125,-0.2487503125,2.06990816815902e-27,3.18024719798048e-26,3.38723801479638e-26
6,0.3,0.962593734375,-0.297501875,2.96076012223105e-27,3.09963009761027e-26,3.39570610983338e-26
7,0.35,0.947718640625,-0.34563156171875,3.99623110341675e-27,3.00457226476629e-26,3.40419537510796e-26
8,0.4,0.930437062539063,-0.39301749375,5.16710839247884e-27,2.89599502429785e-26,3.41270586354573e-26
9,0.45,0.910786187851563,-0.439539346876953,6.46277930079434e-27,2.77495969812516e-26,3.42123762820459e-26
10,0.5,0.888809220507715,-0.485078656269531,7.87133035762625e-27,2.64265768651248e-26,3.4297907222751e-26
11,0.55,0.864555287694238,-0.529519117294917,9.37966000990919e-27,2.50039919808987e-26,3.43836519908079e-26
12,0.6,0.838079331829493,-0.572746881679629,1.09736037744937e-26,2.34960073462912e-26,3.44696111207849e-26
13,0.65,0.809441987745511,-0.614650848271104,1.26380706528852e-26,2.19177144957017e-26,3.45557851485869e-26
14,0.7,0.778709445331956,-0.655122947658379,1.4357189499859e-26,2.02849851115994e-26,3.46421746114584e-26
15,0.75,0.745953297949037,-0.694058419924977,1.61144639311849e-26,1.86143161168021e-26,3.4728780047987e-26
16,0.8,0.711250376952788,-0.731356084822429,1.78929342631611e-26,1.69226677349459e-26,3.4815601998107e-26
17,0.85,0.674682572711667,-0.766918603670068,1.96753448987565e-26,1.52272961043458e-26,3.49026410031023e-26
18,0.9,0.636336642528163,-0.800652732305652,2.14443155127187e-26,1.35455820928913e-26,3.498989760561e-26
19,0.95,0.596304005912881,-0.83246956443206,2.3182514341746e-26,1.18948580078781e-26,3.5077372349624e-26
20,1,0.554680527691278,-0.862284764727704,2.48728318562771e-26,1.0292233924221e-26,3.51650657804981e-26
21,1.05,0.511566289454893,-0.890018791112268,2.64985530780059e-26,8.75442536694343e-27,3.52529784449493e-26
22,1.1,0.467065349899279,-0.915597105585012,2.8043526812089e-26,7.29758407897273e-27,3.53411108910617e-26
23,1.15,0.421285494620029,-0.938950373079976,2.94923300852202e-26,5.93713358306921e-27,3.54294636682894e-26
24,1.2,0.37433797596603,-0.960014647810978,3.08304261201637e-26,4.68761120729644e-27,3.55180373274601e-26
25,1.25,0.326337243575481,-0.978731546609279,3.20443142336545e-26,3.56251818712424e-27,3.56068324207787e-26
26,1.3,0.277400666245017,-0.995048408788053,3.31216701173169e-26,2.57417938451379e-27,3.56958495018307e-26
