# mode: ho, integrator: euler, N: 1, P: 1, dt: 1, steps: 10, seed: 42, L: 10000000000, rcut: 7.65e-10, rescale_step: -1, production_start: 0, gr_discard: 500, gr_interval: 10, gr_start: 500, timestamp: 2026-03-04T17:00:27Z
step,time,x,v,E_kin,E_pot,E_total
0,0,1,0,0,3.34521325e-26,3.34521325e-26
1,1,1,-1,3.34521325e-26,3.34521325e-26,6.6904265e-26
2,2,0,-2,1.3380853e-25,0,1.3380853e-25
3,3,-2,-2,1.3380853e-25,1.3380853e-25,2.6761706e-25
4,4,-4,0,0,5.3523412e-25,5.3523412e-25
5,5,-4,4,5.3523412e-25,5.3523412e-25,1.07046824e-24
6,6,0,8,2.14093648e-24,0,2.14093648e-24
7,7,8,8,2.14093648e-24,2.14093648e-24,4.28187296e-24
8,8,16,0,0,8.56374592e-24,8.56374592e-24
9,9,16,-16,8.56374592e-24,8.56374592e-24,1.712749184e-23
10,10,0,-32,3.425498368e-23,0,3.425498368e-23
