# mode: ho, integrator: euler, N: 1, P: 1, dt: 1, steps: 10, n_steps: 10, n_frames: 11, step_indexing: 0..steps (includes initial frame), total_steps_executed: 10, seed: 42, L: 10000000000, rcut: 7.65e-10, target_temperature: 94.4, equilibration_steps: 0, production_steps: 10, production_start_step: 0, final_rescale_before_production: true, final_rescale_applied: false, production_nve: false, gr_discard_steps: 200, gr_sample_every: 5, gr_start: 200, timestamp: 2026-03-12T13:46:30Z
step,time,x,v,E_kin,E_pot,E_total
0,0,1,0,0,3.34521325e-26,3.34521325e-26
1,1,1,-1,3.34521325e-26,3.34521325e-26,6.6904265e-26
2,2,0,-2,1.3380853e-25,0,1.3380853e-25
3,3,-2,-2,1.3380853e-25,1.3380853e-25,2.6761706e-25
4,4,-4,0,0,5.3523412e-25,5.3523412e-25
5,5,-4,4,5.3523412e-25,5.3523412e-25,1.07046824e-24
6,6,0,8,2.14093648e-24,0,2.14093648e-24
7,7,8,8,2.14093648e-24,2.14093648e-24,4.28187296e-24
8,8,16,0,0,8.56374592e-24,8.56374592e-24
9,9,16,-16,8.56374592e-24,8.56374592e-24,1.712749184e-23
10,10,0,-32,3.425498368e-23,0,3.425498368e-23
