# mode: ho, integrator: rk4, N: 1, P: 1, dt: 0.001, steps: 10000, seed: 42, L: 10000000000, rcut: 7.65e-10, rescale_step: -1, production_start: 0, gr_discard: 500, gr_interval: 10, gr_start: 500, timestamp: 2026-03-04T17:00:40Z
step,time,x,v,E_kin,E_pot,E_total
0,0,1,0,0,3.34521325e-26,3.34521325e-26
1,0.001,0.999999500000042,-0.000999999833333333,3.34521213492901e-32,3.34520990478787e-26,3.34521325e-26
2,0.002,0.999998000000667,-0.00199999866666692,1.3380835158872e-31,3.34519986916484e-26,3.34521325e-26
3,0.003,0.999995500003375,-0.002999995500002,3.01068289293501e-31,3.34518314317107e-26,3.34521325e-26
4,0.004,0.999992000010667,-0.00399998933334183,5.35231265424107e-31,3.34515972687346e-26,3.34521325e-26
5,0.005,0.999987500026042,-0.00499997916669267,8.36296343328946e-31,3.34512962036567e-26,3.34521325e-26
6,0.006,0.999982000054,-0.00599996400006475,1.20426231874811e-30,3.34509282376813e-26,3.34521325e-26
7,0.007,0.999975500100042,-0.00699994283347333,1.63912771981818e-30,3.34504933722802e-26,3.34521325e-26
8,0.008,0.999968000170666,-0.00799991466693967,2.14089080707814e-30,3.34499916091929e-26,3.34521325e-26
9,0.009,0.999959500273374,-0.008999878500492,2.7095495734763e-30,3.34494229504265e-26,3.34521325e-26
10,0.01,0.999950000416665,-0.00999983333416658,3.34510174437836e-30,3.34487873982556e-26,3.34521325e-26
11,0.011,0.999939500610039,-0.0109997781680087,4.04754477757649e-30,3.34480849552224e-26,3.34521325e-26
12,0.012,0.999928000863996,-0.0119997120020735,4.81687586329948e-30,3.34473156241367e-26,3.34521325e-26
13,0.013,0.999915501190035,-0.0129996338364273,5.65309192422402e-30,3.34464794080758e-26,3.34521325e-26
14,0.014,0.999902001600656,-0.0139995426711484,6.55618961548699e-30,3.34455763103845e-26,3.34521325e-26
15,0.015,0.999887502109359,-0.014999437506328,7.52616532469881e-30,3.34446063346753e-26,3.34521325e-26
16,0.016,0.999872002730643,-0.0159993173420713,8.56301517195795e-30,3.3443569484828e-26,3.34521325e-26
17,0.017,0.999855503480008,-0.0169991811784986,9.6667350098664e-30,3.34424657649901e-26,3.34521325e-26
