# mode: ho, integrator: rk4, N: 1, P: 1, dt: 0.01, steps: 1000, n_steps: 1000, n_frames: 1001, step_indexing: 0..steps (includes initial frame), total_steps_executed: 1000, seed: 42, L: 10000000000, rcut: 7.65e-10, target_temperature: 94.4, equilibration_steps: 0, production_steps: 1000, production_start_step: 0, final_rescale_before_production: true, final_rescale_applied: false, production_nve: false, gr_discard_steps: 200, gr_sample_every: 5, gr_start: 200, timestamp: 2026-03-08T18:23:48Z
step,time,x,v,E_kin,E_pot,E_total
0,0,1,0,0,3.34521325e-26,3.34521325e-26
1,0.01,0.999950000416667,-0.00999983333333333,3.34510174382089e-30,3.34487873982557e-26,3.34521324999995e-26
2,0.02,0.999800006666597,-0.0199986666916665,1.33790689791868e-29,3.34387534310199e-26,3.34521324999991e-26
3,0.03,0.999550033749042,-0.0299955001999963,3.00978882529885e-29,3.34220346117456e-26,3.34521324999986e-26
4,0.04,0.999200106661083,-0.0399893341833025,5.34948722604319e-29,3.33986376277377e-26,3.34521324999981e-26
5,0.05,0.99875026039514,-0.0499791692665153,8.35606625198709e-29,3.33685718374778e-26,3.34521324999977e-26
6,0.06,0.998200539935462,-0.0599640064744513,1.20283233116075e-28,3.33318492668811e-26,3.34521324999972e-26
7,0.07,0.997551000253639,-0.0699428473317105,1.63647895510437e-28,3.32884846044863e-26,3.34521324999967e-26
8,0.08,0.996801706303097,-0.0799146939625232,2.13637304416187e-28,3.32384951955801e-26,3.34521324999963e-26
9,0.09,0.995952733012606,-0.0898785491905361,2.70231464736285e-28,3.31819010352595e-26,3.34521324999958e-26
10,0.1,0.995004165278789,-0.0998334166385298,3.33407739561184e-28,3.31187247604342e-26,3.34521324999953e-26
11,0.11,0.993956097957627,-0.109778300828055,4.03140859223296e-28,3.30489916407716e-26,3.34521324999949e-26
12,0.12,0.992808635854981,-0.119712207278982,4.79402931404525e-28,3.29727295685899e-26,3.34521324999944e-26
13,0.13,0.991561893716103,-0.129634142608942,5.62163452292817e-28,3.28899690477011e-26,3.3452132499994e-26
14,0.14,0.990215996214169,-0.139543114632671,6.5138931878328e-28,3.28007431812102e-26,3.34521324999935e-26
15,0.15,0.988771077937807,-0.149438132461224,7.47044841718986e-28,3.2705087658274e-26,3.3452132499993e-26
16,0.16,0.987227283377641,-0.159318206601066,8.49091760166157e-28,3.26030407398264e-26,3.34521324999926e-26
17,0.17,0.985584766911841,-0.169182349053014,9.57489256718028e-28,3.24946432432741e-26,3.34521324999921e-26
18,0.18,0.983843692790684,-0.179029573411045,1.07219397382127e-27,3.23799385261704e-26,3.34521324999916e-26
19,0.19,0.982004235120131,-0.188858894960928,1.19316003111841e-27,3.22589724688728e-26,3.34521324999912e-26
20,0.2,0.980066577844417,-0.1986693307787,1.32033904379942e-27,3.21317934561913e-26,3.34521324999907e-26
21,0.21,0.978030914727654,-0.208459899828954,1.45368014195491e-27,3.19984523580353e-26,3.34521324999902e-26
22,0.22,0.975897449334457,-0.218229623062945,1.5931299909235e-27,3.18590025090663e-26,3.34521324999898e-26
23,0.23,0.973666395009589,-0.227977523516491,1.73863281262491e-27,3.17134996873644e-26,3.34521324999893e-26
24,0.24,0.971337974856622,-0.237702626407669,1.89013040787049e-27,3.15620020921184e-26,3.34521324999889e-26
25,0.25,0.968912421715631,-0.247403959234295,2.04756217964208e-27,3.14045703203463e-26,3.34521324999884e-26
26,0.26,0.966389978139909,-0.257080551871171,2.21086515733005e-27,3.12412673426579e-26,3.34521324999879e-26
27,0.27,0.963770896371711,-0.266731436667097,2.37997402192068e-27,3.10721584780668e-26,3.34521324999875e-26
