# mode: ho, integrator: rk4, N: 1, P: 1, dt: 1, steps: 10, n_steps: 10, n_frames: 11, step_indexing: 0..steps (includes initial frame), total_steps_executed: 10, seed: 42, L: 10000000000, rcut: 7.65e-10, target_temperature: 94.4, equilibration_steps: 0, production_steps: 10, production_start_step: 0, final_rescale_before_production: true, final_rescale_applied: false, production_nve: false, gr_discard_steps: 200, gr_sample_every: 5, gr_start: 200, timestamp: 2026-03-11T13:12:42Z
step,time,x,v,E_kin,E_pot,E_total
0,0,1,0,0,3.34521325e-26,3.34521325e-26
1,1,0.541666666666667,-0.833333333333333,2.32306475694444e-26,9.81494859809028e-27,3.30455961675347e-26
2,2,-0.401041666666667,-0.902777777777778,2.72637461058063e-26,5.38025427497016e-27,3.26440003807765e-26
3,3,-0.969545717592593,-0.154803240740741,8.01648353173736e-28,3.14456367451975e-26,3.22472850983712e-26
4,4,-0.654173297646605,0.724103009259259,1.75397949936334e-26,1.43155960150006e-26,3.18553910086341e-26
5,5,0.249075304824138,0.93736687805427,2.9392939148585e-26,2.07532037209698e-27,3.14682595206819e-26
6,6,0.9160548551583,0.300177638259281,3.01425840774571e-27,2.80715743479279e-26,3.10858327556736e-26
7,7,0.746344411760146,-0.600782825241473,1.20742128084231e-26,1.86338407297337e-26,3.07080535381568e-26
8,8,-0.0963824646644812,-0.94737770680592,3.00241091433901e-26,3.10756244129332e-28,3.03348653875195e-26
9,9,-0.841688590698194,-0.432844203966139,6.26739434177055e-27,2.36988181677756e-26,2.99662125095461e-26
10,10,-0.816618156599971,0.466949881766836,7.2939763001196e-27,2.23080634879563e-26,2.96020397880759e-26
