# mode: ho, integrator: verlet, N: 1, P: 1, dt: 0.0005, steps: 20000, seed: 42, L: 10000000000, rcut: 7.65e-10, rescale_step: -1, production_start: 0, gr_discard: 500, gr_interval: 10, gr_start: 500, timestamp: 2026-03-04T17:00:36Z
step,time,x,v,E_kin,E_pot,E_total
0,0,1,0,0,3.34521325e-26,3.34521325e-26
1,0.0005,0.999999875,-0.00049999996875,8.36303207962089e-33,3.34521241369674e-26,3.34521324999995e-26
2,0.001,0.999999500000031,-0.000999999812500008,3.3452119955452e-32,3.3452099047878e-26,3.34521324999979e-26
3,0.0015,0.999998875000187,-0.00149999940625006,7.52672385384071e-32,3.34520572327568e-26,3.34521324999953e-26
4,0.002,0.999998000000625,-0.00199999862500027,1.3380834601337e-31,3.34519986916456e-26,3.34521324999916e-26
5,0.0025,0.999996875001563,-0.00249999734375081,2.09075383839237e-31,3.34519234246031e-26,3.34521324999869e-26
6,0.003,0.999995500003281,-0.00299999543750202,3.01068276748975e-31,3.34518314317044e-26,3.34521324999812e-26
7,0.0035,0.999993875006125,-0.00349999278125437,4.09786932749697e-31,3.34517227130416e-26,3.34521324999744e-26
8,0.004,0.9999920000105,-0.00399998925000853,5.35231243122754e-31,3.34515972687234e-26,3.34521324999665e-26
9,0.0045,0.999989875016875,-0.00449998471876537,6.77401082423843e-31,3.34514550988752e-26,3.34521324999577e-26
10,0.005,0.999987500025781,-0.00499997906252604,8.36296308483133e-31,3.34512962036393e-26,3.34521324999477e-26
11,0.0055,0.999984875037813,-0.00549997215629194,1.01191676240541e-30,3.34511205831743e-26,3.34521324999368e-26
12,0.006,0.999982000053625,-0.0059999638750648,1.20426226857023e-30,3.34509282376562e-26,3.34521324999247e-26
13,0.0065,0.999978875073937,-0.00649995409384669,1.41333263463209e-30,3.3450719167277e-26,3.34521324999117e-26
14,0.007,0.999975500099531,-0.00699994268764005,1.63912765152066e-30,3.3450493372246e-26,3.34521324998976e-26
15,0.0075,0.99997187513125,-0.00749992953144775,1.88164709344091e-30,3.3450250852789e-26,3.34521324998824e-26
16,0.008,0.99996800017,-0.00799991450027306,2.14089071787343e-30,3.34499916091483e-26,3.34521324998662e-26
17,0.0085,0.99996387521675,-0.00849989746911975,2.41685826557461e-30,3.34497156415834e-26,3.3452132499849e-26
18,0.009,0.999959500272531,-0.00899987831299207,2.70954946057692e-30,3.34494229503701e-26,3.34521324998307e-26
19,0.0095,0.999954875338437,-0.00949985690689482,3.01896401018918e-30,3.34491135358011e-26,3.34521324998113e-26
20,0.01,0.999950000415624,-0.00999983312583333,3.34510160499686e-30,3.34487873981859e-26,3.34521324997909e-26
21,0.0105,0.999944875505311,-0.0104998068448136,3.68796191886238e-30,3.34484445378506e-26,3.34521324997695e-26
22,0.011,0.999939500608779,-0.0109997779388421,4.04754460892546e-30,3.34480849551381e-26,3.3452132499747e-26
23,0.0115,0.999933875727372,-0.0114997462829261,4.42384931560342e-30,3.34477086504079e-26,3.34521324997235e-26
24,0.012,0.999928000862496,-0.0119997117520736,4.81687566259158e-30,3.34473156240364e-26,3.34521324996989e-26
25,0.0125,0.99992187601562,-0.0124996742212931,5.22662325686363e-30,3.34469058764165e-26,3.34521324996733e-26
26,0.013,0.999915501188275,-0.0129996335655941,5.65309168867199e-30,3.3446479407958e-26,3.34521324996467e-26
27,0.0135,0.999908876382054,-0.0134995896599867,6.09628053154825e-30,3.34460362190874e-26,3.3452132499619e-26
28,0.014,0.999902001598615,-0.0139995423794818,6.5561893423036e-30,3.34455763102479e-26,3.34521324995902e-26
29,0.0145,0.999894876839675,-0.0144994915990914,7.03281766102927e-30,3.34450996818994e-26,3.34521324995604e-26
30,0.015,0.999887502107016,-0.0149994371938281,7.52616501109695e-30,3.34446063345185e-26,3.34521324995296e-26
31,0.0155,0.999879877402481,-0.0154993790387055,8.03623089915933e-30,3.34440962685986e-26,3.34521324994977e-26
32,0.016,0.999872002727977,-0.0159993170087381,8.56301481515057e-30,3.34435694846497e-26,3.34521324994648e-26
33,0.0165,0.999863878085472,-0.0164992509789414,9.10651623228676e-30,3.34430259831986e-26,3.34521324994309e-26
34,0.017,0.999855503476998,-0.0169991808243321,9.66673460706653e-30,3.34424657647888e-26,3.34521324993958e-26
35,0.0175,0.999846878904648,-0.0174991064199275,1.02436693792715e-29,3.34418888299805e-26,3.34521324993598e-26
36,0.018,0.999838004370578,-0.0179990276407463,1.08373199719671e-29,3.34412951793507e-26,3.34521324993227e-26
37,0.0185,0.999828879877007,-0.0184989443618082,1.14476857915025e-29,3.3440684813493e-26,3.34521324992845e-26
38,0.019,0.999819505426216,-0.018998856458134,1.20747662275121e-29,3.34400577330178e-26,3.34521324992453e-26
39,0.0195,0.999809881020549,-0.0194987638047457,1.27185606529155e-29,3.34394139385522e-26,3.34521324992051e-26
40,0.02,0.999800006662412,-0.0199986662766664,1.33790684239183e-29,3.34387534307399e-26,3.34521324991638e-26
41,0.0205,0.999789882354272,-0.0204985637489206,1.40562888800127e-29,3.34380762102415e-26,3.34521324991215e-26
42,0.021,0.999779508098663,-0.0209984560965338,1.47502213439784e-29,3.34373822777341e-26,3.34521324990781e-26
43,0.0215,0.999768883898176,-0.021498343194533,1.54608651218829e-29,3.34366716339118e-26,3.34521324990337e-26
44,0.022,0.999758009755468,-0.0219982249179464,1.61882195030825e-29,3.34359442794852e-26,3.34521324989882e-26
45,0.0225,0.999746885673258,-0.0224981011418036,1.69322837602228e-29,3.34352002151815e-26,3.34521324989417e-26
46,0.023,0.999735511654326,-0.0229979717411355,1.76930571492397e-29,3.3434439441745e-26,3.34521324988942e-26
47,0.0235,0.999723887701517,-0.0234978365909745,1.84705389093598e-29,3.34336619599362e-26,3.34521324988456e-26
48,0.024,0.999712013817735,-0.0239976955663543,1.92647282631013e-29,3.34328677705329e-26,3.3452132498796e-26
49,0.0245,0.99969989000595,-0.0244975485423102,2.0075624416275e-29,3.3432056874329e-26,3.34521324987453e-26
50,0.025,0.999687516269193,-0.024997395393879,2.09032265579849e-29,3.34312292721356e-26,3.34521324986936e-26
51,0.0255,0.999674892610557,-0.0254972359960989,2.17475338606287e-29,3.34303849647802e-26,3.34521324986408e-26
52,0.026,0.999662019033197,-0.0259970702240099,2.26085454798992e-29,3.34295239531071e-26,3.3452132498587e-26
53,0.0265,0.999648895540333,-0.0264968979526533,2.34862605547849e-29,3.34286462379773e-26,3.34521324985321e-26
54,0.027,0.999635522135244,-0.0269967190570722,2.43806782075708e-29,3.34277518202686e-26,3.34521324984762e-26
55,0.0275,0.999621898821276,-0.0274965334123113,2.52917975438393e-29,3.34268407008754e-26,3.34521324984193e-26
56,0.028,0.999608025601832,-0.0279963408934171,2.6219617652471e-29,3.34259128807088e-26,3.34521324983613e-26
57,0.0285,0.999593902480382,-0.0284961413754376,2.71641376056459e-29,3.34249683606966e-26,3.34521324983023e-26
58,0.029,0.999579529460457,-0.0289959347334228,2.81253564588442e-29,3.34240071417833e-26,3.34521324982422e-26
59,0.0295,0.999564906545649,-0.0294957208424244,2.9103273250847e-29,3.34230292249302e-26,3.34521324981811e-26
60,0.03,0.999550033739614,-0.0299954995774957,3.00978870037376e-29,3.34220346111152e-26,3.34521324981189e-26
61,0.0305,0.999534911046071,-0.0304952708136921,3.11091967229024e-29,3.34210233013328e-26,3.34521324980557e-26
62,0.031,0.9995195384688,-0.0309950344260708,3.21372013970316e-29,3.34199952965944e-26,3.34521324979914e-26
63,0.0315,0.999503916011645,-0.0314947902896909,3.31818999981207e-29,3.3418950597928e-26,3.34521324979261e-26
64,0.032,0.999488043678511,-0.0319945382796135,3.4243291481471e-29,3.34178892063783e-26,3.34521324978598e-26
65,0.0325,0.999471921473365,-0.0324942782709014,3.53213747856913e-29,3.34168111230067e-26,3.34521324977924e-26
66,0.033,0.99945554940024,-0.0329940101386198,3.64161488326982e-29,3.34157163488913e-26,3.3452132497724e-26
67,0.0335,0.999438927463227,-0.0334937337578357,3.75276125277179e-29,3.34146048851268e-26,3.34521324976545e-26
68,0.034,0.999422055666482,-0.0339934490036181,3.86557647592866e-29,3.34134767328247e-26,3.3452132497584e-26
69,0.0345,0.999404934014223,-0.0344931557510383,3.98006043992521e-29,3.34123318931132e-26,3.34521324975125e-26
70,0.035,0.999387562510731,-0.0349928538751695,4.09621303027751e-29,3.34111703671371e-26,3.34521324974399e-26
71,0.0355,0.999369941160348,-0.0354925432510873,4.21403413083295e-29,3.34099921560579e-26,3.34521324973662e-26
72,0.036,0.99935206996748,-0.0359922237538693,4.33352362377045e-29,3.34087972610539e-26,3.34521324972916e-26
73,0.0365,0.999333948936594,-0.0364918952585953,4.45468138960052e-29,3.34075856833198e-26,3.34521324972158e-26
74,0.037,0.999315578072221,-0.0369915576403475,4.5775073071654e-29,3.34063574240674e-26,3.34521324971391e-26
75,0.0375,0.999296957378954,-0.0374912107742103,4.70200125363919e-29,3.34051124845249e-26,3.34521324970613e-26
76,0.038,0.999278086861447,-0.0379908545352704,4.82816310452794e-29,3.34038508659371e-26,3.34521324969824e-26
77,0.0385,0.999258966524419,-0.0384904887986168,4.95599273366981e-29,3.34025725695658e-26,3.34521324969025e-26
78,0.039,0.999239596372648,-0.0389901134393411,5.08549001323518e-29,3.34012775966892e-26,3.34521324968216e-26
79,0.0395,0.999219976410979,-0.039489728332537,5.21665481372678e-29,3.33999659486023e-26,3.34521324967396e-26
80,0.04,0.999200106644316,-0.0399893333533008,5.34948700397982e-29,3.33986376266168e-26,3.34521324966566e-26
81,0.0405,0.999179987077626,-0.0404889283767313,5.48398645116211e-29,3.33972926320609e-26,3.34521324965725e-26
82,0.041,0.999159617715939,-0.0409885132779297,5.62015302077422e-29,3.33959309662797e-26,3.34521324964874e-26
83,0.0415,0.999138998564348,-0.0414880879319998,5.75798657664958e-29,3.33945526306348e-26,3.34521324964013e-26
84,0.042,0.999118129628007,-0.0419876522140479,5.89748698095465e-29,3.33931576265045e-26,3.34521324963141e-26
85,0.0425,0.999097010912134,-0.0424872059991829,6.03865409418903e-29,3.3391745955284e-26,3.34521324962259e-26
