# mode: ho, integrator: verlet, N: 1, P: 1, dt: 0.05, steps: 200, n_steps: 200, n_frames: 201, step_indexing: 0..steps (includes initial frame), total_steps_executed: 200, seed: 42, L: 10000000000, rcut: 7.65e-10, target_temperature: 94.4, equilibration_steps: 0, production_steps: 200, production_start_step: 0, final_rescale_before_production: true, final_rescale_applied: false, production_nve: false, gr_discard_steps: 200, gr_sample_every: 5, gr_start: 200, timestamp: 2026-03-12T13:46:37Z
step,time,x,v,E_kin,E_pot,E_total
0,0,1,0,0,3.34521325e-26,3.34521325e-26
1,0.05,0.99875,-0.04996875,8.35258260040357e-29,3.3368554437707e-26,3.34520802637111e-26
2,0.1,0.995003125,-0.099812578125,3.33268567792515e-28,3.31186555090882e-26,3.34519240768807e-26
3,0.15,0.9887687421875,-0.149406874804688,7.46732358839689e-28,3.27049331415613e-26,3.3451665500401e-26
4,0.2,0.980062437519531,-0.198627654297363,1.31978514538378e-27,3.21315219730369e-26,3.34513071184206e-26
5,0.25,0.968905976757764,-0.247351864654296,2.04669998113926e-27,3.14041525313804e-26,3.34508525125196e-26
6,0.3,0.955327251054102,-0.295457695349592,2.92021226096631e-27,3.05300939649493e-26,3.34503062259156e-26
7,0.35,0.939360207222804,-0.342824881806515,3.93159232151839e-27,2.95180813965419e-26,3.34496737180603e-26
8,0.4,0.92104476287345,-0.389335006058921,5.07073268331537e-27,2.83782286267639e-26,3.34489613100792e-26
9,0.45,0.900426706616912,-0.43487179279618,6.32624906236654e-27,2.7121927059233e-26,3.34481761215995e-26
10,0.5,0.877557583593832,-0.479321400051449,7.68559414185875e-27,2.57617318577398e-26,3.34473259995986e-26
11,0.55,0.852494566611767,-0.522572703806589,9.13518296690384e-27,2.43112364730793e-26,3.34464194399832e-26
12,0.6,0.825300313213173,-0.564517575802212,1.06605287091815e-26,2.27849367935019e-26,3.34454655026834e-26
13,0.65,0.796042809031546,-0.60505115385833,1.22463874446798e-26,2.11980862764304e-26,3.34444737211103e-26
14,0.7,0.76479519782734,-0.644072104029803,1.3876910497661e-26,1.95665435092198e-26,3.34434540068808e-26
15,0.75,0.731635598628566,-0.6814828739412,1.55358028283642e-26,1.79066137223998e-26,3.3442416550764e-26
16,0.8,0.69664691043322,-0.717189936667745,1.72064858815596e-26,1.62348858392775e-26,3.3441371720837e-26
17,0.85,0.659916604961791,-0.75110402455262,1.88722632684841e-26,1.45680666903849e-26,3.3440329958869e-26
18,0.9,0.621536507977958,-0.783140352376114,2.05164876263773e-26,1.29228140495912e-26,3.34393016759685e-26
19,0.95,0.58160256972418,-0.813218829318668,2.21227269880625e-26,1.13155701604753e-26,3.34382971485378e-26
20,1,0.540214625046091,-0.841264259187924,2.36749289989188e-26,9.76239741665408e-27,3.34373264155729e-26
21,1.05,0.497476143805388,-0.867206528409211,2.51575813401003e-26,8.27881783823613e-27,3.34363991783364e-26
22,1.1,0.45349397220517,-0.890980781309475,2.65558667547721e-26,6.87965794863325e-27,3.34355247034054e-26
23,1.15,0.40837806567444,-0.912527582256466,2.78558111280716e-26,5.57890060199216e-27,3.34347117300638e-26
24,1.2,0.362241213979524,-0.931793064247815,2.9044423140918e-26,4.38954524204584e-27,3.34339683829638e-26
25,1.25,0.315198759249659,-0.948729063578544,3.01098241020078e-26,3.32347798892276e-27,3.34333020909306e-26
26,1.3,0.267368307621669,-0.963293240250327,3.10413666604863e-26,2.39135285223383e-27,3.34327195127202e-26
27,1.35,0.218869435224626,-0.975449183821485,3.18297412129097e-26,1.60248525756382e-27,3.34322264704735e-26
28,1.4,0.169823389239521,-0.985166504433089,3.24670689410946e-26,9.6475895043697e-28,3.34318278915315e-26
29,1.45,0.120352784781317,-0.99242090878361,3.29469805510575e-26,4.84547208135128e-28,3.34315277591926e-26
30,1.5,0.0705812983611599,-0.997194260862171,3.32646799261463e-26,1.66649146757923e-28,3.34313290729042e-26
31,1.55,0.0206333586950998,-0.999474627288578,3.34169920582313e-26,1.42417600562445e-29,3.34312338182876e-26
32,1.6,-0.0293661643676979,-0.999256307146763,3.34023947779424e-26,2.88481693509409e-29,3.34312429472934e-26
33,1.65,-0.0792922720195765,-0.996539846237081,3.32210339668496e-26,2.10322401839124e-28,3.34313563686887e-26
