# mode: ho, integrator: verlet, N: 1, P: 1, dt: 1, steps: 10, seed: 42, L: 10000000000, rcut: 7.65e-10, rescale_step: -1, production_start: 0, gr_discard: 500, gr_interval: 10, gr_start: 500, timestamp: 2026-03-04T17:00:32Z
step,time,x,v,E_kin,E_pot,E_total
0,0,1,0,0,3.34521325e-26,3.34521325e-26
1,1,0.5,-0.75,1.881682453125e-26,8.363033125e-27,2.717985765625e-26
2,2,-0.5,-0.75,1.881682453125e-26,8.363033125e-27,2.717985765625e-26
3,3,-1,0,0,3.34521325e-26,3.34521325e-26
4,4,-0.5,0.75,1.881682453125e-26,8.363033125e-27,2.717985765625e-26
5,5,0.5,0.75,1.881682453125e-26,8.363033125e-27,2.717985765625e-26
6,6,1,0,0,3.34521325e-26,3.34521325e-26
7,7,0.5,-0.75,1.881682453125e-26,8.363033125e-27,2.717985765625e-26
8,8,-0.5,-0.75,1.881682453125e-26,8.363033125e-27,2.717985765625e-26
9,9,-1,0,0,3.34521325e-26,3.34521325e-26
10,10,-0.5,0.75,1.881682453125e-26,8.363033125e-27,2.717985765625e-26
