# mode: ho, integrator: verlet, N: 1, P: 1, dt: 1, steps: 10, n_steps: 10, n_frames: 11, step_indexing: 0..steps (includes initial frame), total_steps_executed: 10, seed: 42, L: 10000000000, rcut: 7.65e-10, target_temperature: 94.4, equilibration_steps: 0, production_steps: 10, production_start_step: 0, final_rescale_before_production: true, final_rescale_applied: false, production_nve: false, gr_discard_steps: 200, gr_sample_every: 5, gr_start: 200, timestamp: 2026-03-07T20:15:45Z
step,time,x,v,E_kin,E_pot,E_total
0,0,1,0,0,3.34521325e-26,3.34521325e-26
1,1,0.5,-0.75,1.881682453125e-26,8.363033125e-27,2.717985765625e-26
2,2,-0.5,-0.75,1.881682453125e-26,8.363033125e-27,2.717985765625e-26
3,3,-1,0,0,3.34521325e-26,3.34521325e-26
4,4,-0.5,0.75,1.881682453125e-26,8.363033125e-27,2.717985765625e-26
5,5,0.5,0.75,1.881682453125e-26,8.363033125e-27,2.717985765625e-26
6,6,1,0,0,3.34521325e-26,3.34521325e-26
7,7,0.5,-0.75,1.881682453125e-26,8.363033125e-27,2.717985765625e-26
8,8,-0.5,-0.75,1.881682453125e-26,8.363033125e-27,2.717985765625e-26
9,9,-1,0,0,3.34521325e-26,3.34521325e-26
10,10,-0.5,0.75,1.881682453125e-26,8.363033125e-27,2.717985765625e-26
