# mode: lj, integrator: verlet, N: 864, P: 4, dt: 1e-14, steps: 100, seed: 42, L: 3.47786e-09, rcut: 7.65e-10, rescale_step: 10, production_start: 10, gr_discard: 500, gr_interval: 10, gr_start: 510, lattice: FCC, velocities: Box-Muller, timestamp: 2026-03-04T17:00:42Z
step,time,E_kin,E_pot,E_total,temperature
0,0,1.687164123192e-18,-9.03403363081345e-18,-7.34686950762145e-18,94.3999999999998
1,1e-14,1.68565150990768e-18,-9.03252377656108e-18,-7.3468722666534e-18,94.3153664471185
2,2e-14,1.68104374925043e-18,-9.02792755913225e-18,-7.34688380988182e-18,94.0575535882122
3,3e-14,1.67320768110307e-18,-9.0201118024461e-18,-7.34690412134303e-18,93.6191108647434
4,4e-14,1.66190975996232e-18,-9.00884288196028e-18,-7.34693312199796e-18,92.9869709673703
5,5e-14,1.64681921968634e-18,-8.99378975666092e-18,-7.34697053697458e-18,92.1426269095096
6,6e-14,1.62751500497302e-18,-8.97453068507202e-18,-7.34701568009899e-18,91.0625198565638
7,7e-14,1.60350120181013e-18,-8.95051909387198e-18,-7.34701789206185e-18,89.7189024885695
8,8e-14,1.57423289786328e-18,-8.92115204265369e-18,-7.34691914479041e-18,88.0812859374569
9,9e-14,1.53915953928007e-18,-8.8858783772851e-18,-7.34671883800504e-18,86.1188656816309
10,1e-13,1.4978036177086e-18,-8.8439075707843e-18,-7.3461039530757e-18,83.8049242323781
11,1.1e-13,1.63594794684796e-18,-8.79233453849158e-18,-7.15638659164362e-18,91.5343587855994
12,1.2e-13,1.5769568735764e-18,-8.73224385770163e-18,-7.15528698412523e-18,88.2336974923167
13,1.3e-13,1.51048801855163e-18,-8.66402333484236e-18,-7.15353531629073e-18,84.5146402719277
14,1.4e-13,1.43752792574503e-18,-8.58921131044557e-18,-7.15168338470054e-18,80.432386111667
15,1.5e-13,1.3598793216331e-18,-8.50817813325652e-18,-7.14829881162341e-18,76.087800942147
16,1.6e-13,1.28014042302793e-18,-8.42577750308961e-18,-7.14563708006168e-18,71.6262598716275
17,1.7e-13,1.20143803151304e-18,-8.34419924541753e-18,-7.14276121390449e-18,67.2227133186404
18,1.8e-13,1.12700879889289e-18,-8.26569875135501e-18,-7.13868995246212e-18,63.0582580278003
19,1.9e-13,1.05969666389141e-18,-8.19532439521111e-18,-7.1356277313197e-18,59.2920177096283
20,2e-13,1.00158052111023e-18,-8.13465985019869e-18,-7.13307932908847e-18,56.0403104197858
21,2.1e-13,9.5379214964554e-19,-8.08442773682226e-18,-7.13063558717672e-18,53.3664613233912
22,2.2e-13,9.16548370404862e-19,-8.04514146540389e-18,-7.12859309499903e-18,51.2826019572565
23,2.3e-13,8.89371026479667e-19,-8.01493319901939e-18,-7.12556217253973e-18,49.7619785447075
24,2.4e-13,8.71307607652241e-19,-7.99445646094566e-18,-7.12314885329342e-18,48.751296350919
25,2.5e-13,8.61123751239246e-19,-7.9825743826613e-18,-7.12145063142205e-18,48.1814904664932
26,2.6e-13,8.5749893908429e-19,-7.97674262292297e-18,-7.11924368383868e-18,47.9786754215761
27,2.7e-13,8.59113261474963e-19,-7.97715969962932e-18,-7.11804643815436e-18,48.0689997898961
28,2.8e-13,8.64703548550197e-19,-7.98118806546277e-18,-7.11648451691257e-18,48.3817868463821
29,2.9e-13,8.73102877772664e-19,-7.9884319602375e-18,-7.11532908246484e-18,48.851745084411
30,3e-13,8.83229867364502e-19,-7.99739431917672e-18,-7.11416445181222e-18,49.4183691634371
31,3.1e-13,8.94119835907374e-19,-8.00711119111885e-18,-7.11299135521147e-18,50.0276833471114
32,3.2e-13,9.04933206310684e-19,-8.01684077195888e-18,-7.1119075656482e-18,50.6327117210796
33,3.3e-13,9.14971826211107e-19,-8.02614322534563e-18,-7.11117139913453e-18,51.1943913499749
34,3.4e-13,9.23727631986003e-19,-8.0352648880439e-18,-7.11153725605789e-18,51.6842951203244
35,3.5e-13,9.30903864066369e-19,-8.04178110346523e-18,-7.11087723939886e-18,52.0858187771367
36,3.6e-13,9.36421213086835e-19,-8.04596880731229e-18,-7.10954759422545e-18,52.3945248125321
37,3.7e-13,9.40382331061075e-19,-8.04965514517414e-18,-7.10927281411306e-18,52.616156799384
38,3.8e-13,9.43025498564701e-19,-8.05156020063209e-18,-7.10853470206739e-18,52.7640469832211
39,3.9e-13,9.44677032495768e-19,-8.0518229773747e-18,-7.10714594487893e-18,52.8564534070833
40,4e-13,9.45671424568251e-19,-8.05294708148355e-18,-7.1072756569153e-18,52.9120915103076
41,4.1e-13,9.46308436353846e-19,-8.05336509229651e-18,-7.10705665594266e-18,52.9477335155716
42,4.2e-13,9.46835850338842e-19,-8.05362425268374e-18,-7.1067884023449e-18,52.9772433181446
43,4.3e-13,9.47432535646467e-19,-8.05457019317956e-18,-7.10713765753309e-18,53.0106289812615
44,4.4e-13,9.48219808955088e-19,-8.05388331476822e-18,-7.10566350581313e-18,53.0546784008243
45,4.5e-13,9.49253294966789e-19,-8.05441325241296e-18,-7.10515995744617e-18,53.1125038833387
46,4.6e-13,9.50509756634497e-19,-8.05572560431111e-18,-7.10521584767661e-18,53.1828052723981
47,4.7e-13,9.51907732176716e-19,-8.05662681080821e-18,-7.10471907863149e-18,53.2610246284
48,4.8e-13,9.53330177036054e-19,-8.05755420183565e-18,-7.1042240247996e-18,53.3406130886308
49,4.9e-13,9.54626234736306e-19,-8.05916686398132e-18,-7.10454062924502e-18,53.4131299500445
