# mode: lj, integrator: verlet, N: 864, P: 4, dt: 1e-14, steps: 200, seed: 42, L: 3.47786e-09, rcut: 7.65e-10, rescale_step: 100, production_start: 100, gr_discard: 500, gr_interval: 10, gr_start: 600, lattice: FCC, velocities: Box-Muller, timestamp: 2026-03-04T17:00:44Z
step,time,E_kin,E_pot,E_total,temperature
0,0,1.687164123192e-18,-9.03403363081345e-18,-7.34686950762145e-18,94.3999999999998
1,1e-14,1.68565150990768e-18,-9.03252377656108e-18,-7.3468722666534e-18,94.3153664471185
2,2e-14,1.68104374925043e-18,-9.02792755913225e-18,-7.34688380988182e-18,94.0575535882122
3,3e-14,1.67320768110307e-18,-9.0201118024461e-18,-7.34690412134303e-18,93.6191108647434
4,4e-14,1.66190975996232e-18,-9.00884288196028e-18,-7.34693312199796e-18,92.9869709673703
5,5e-14,1.64681921968634e-18,-8.99378975666092e-18,-7.34697053697458e-18,92.1426269095096
6,6e-14,1.62751500497302e-18,-8.97453068507202e-18,-7.34701568009899e-18,91.0625198565638
7,7e-14,1.60350120181013e-18,-8.95051909387198e-18,-7.34701789206185e-18,89.7189024885695
8,8e-14,1.57423289786328e-18,-8.92115204265369e-18,-7.34691914479041e-18,88.0812859374569
9,9e-14,1.53915953928007e-18,-8.8858783772851e-18,-7.34671883800504e-18,86.1188656816309
10,1e-13,1.4978036177086e-18,-8.8439075707843e-18,-7.3461039530757e-18,83.8049242323781
11,1.1e-13,1.44986387753969e-18,-8.79544242228607e-18,-7.34557854474639e-18,81.1226057728178
12,1.2e-13,1.39530626928203e-18,-8.74002632964528e-18,-7.34472006036325e-18,78.0700051699913
13,1.3e-13,1.33453708552839e-18,-8.67769676833108e-18,-7.3431596828027e-18,74.6698552571954
14,1.4e-13,1.26854310182962e-18,-8.61010699374097e-18,-7.34156389191135e-18,70.9773679789707
15,1.5e-13,1.19896028156016e-18,-8.53766324947102e-18,-7.33870296791086e-18,67.0840785573052
16,1.6e-13,1.12804570597103e-18,-8.46401227603827e-18,-7.33596657006724e-18,63.1162749254045
17,1.7e-13,1.05844316636161e-18,-8.39171804893014e-18,-7.33327488256853e-18,59.2218821696492
18,1.8e-13,9.92828016196693e-19,-8.32352993071648e-18,-7.33070191451979e-18,55.5505913388262
19,1.9e-13,9.33536352501014e-19,-8.26028586732157e-18,-7.32674951482056e-18,52.2331114470165
20,2e-13,8.82278535951274e-19,-8.206944980659e-18,-7.32466644470773e-18,49.3651403849358
21,2.1e-13,8.40000401083351e-19,-8.16197155233396e-18,-7.32197115125061e-18,46.9995993704783
22,2.2e-13,8.069090876375e-19,-8.12682885867624e-18,-7.31991977103874e-18,45.148078260974
23,2.3e-13,7.82619129525085e-19,-8.10086529685517e-18,-7.31824616733008e-18,43.7890095051295
24,2.4e-13,7.6634358447911e-19,-8.08206705536434e-18,-7.31572347088523e-18,42.8783622057825
25,2.5e-13,7.57060724987096e-19,-8.07005780804596e-18,-7.31299708305887e-18,42.3589687905241
26,2.6e-13,7.53637081884541e-19,-8.06548145144683e-18,-7.31184436956229e-18,42.1674095317427
27,2.7e-13,7.54940839755121e-19,-8.06456455156516e-18,-7.30962371181004e-18,42.2403572321418
28,2.8e-13,7.59887898140221e-19,-8.06794657851558e-18,-7.30805868037536e-18,42.5171544358839
29,2.9e-13,7.67459643746851e-19,-8.0748042311887e-18,-7.30734458744185e-18,42.9408078169868
30,3e-13,7.76732689634709e-19,-8.0833130271821e-18,-7.30658033754739e-18,43.4596521426696
31,3.1e-13,7.86864633557524e-19,-8.09196493055952e-18,-7.305100297002e-18,44.0265534258146
32,3.2e-13,7.97115542239965e-19,-8.10128493758914e-18,-7.30416939534918e-18,44.6001110105928
33,3.3e-13,8.06876376500816e-19,-8.11010863263149e-18,-7.30323225613067e-18,45.146248011468
34,3.4e-13,8.15672293300031e-19,-8.11886894307469e-18,-7.30319664977466e-18,45.6383960689285
35,3.5e-13,8.23174775787467e-19,-8.12586804125595e-18,-7.30269326546848e-18,46.0581740484851
36,3.6e-13,8.29230511382447e-19,-8.13207440834903e-18,-7.30284389696659e-18,46.3970038234358
37,3.7e-13,8.33859381858531e-19,-8.13552123751807e-18,-7.30166185565954e-18,46.6559978163354
38,3.8e-13,8.37203714589445e-19,-8.13843822775652e-18,-7.30123451316707e-18,46.8431195109343
39,3.9e-13,8.394818468314e-19,-8.14059370138238e-18,-7.30111185455098e-18,46.9705852866015
40,4e-13,8.4096535516712e-19,-8.14104430036032e-18,-7.3000789451932e-18,47.0535903629702
41,4.1e-13,8.41929836884127e-19,-8.14112885337072e-18,-7.29919901648659e-18,47.1075549256549
42,4.2e-13,8.42609258687628e-19,-8.14088134502267e-18,-7.29827208633504e-18,47.1455698510371
43,4.3e-13,8.43180522401235e-19,-8.14200236786069e-18,-7.29882184545946e-18,47.1775331282448
44,4.4e-13,8.4377730700867e-19,-8.14264390406713e-18,-7.29886659705846e-18,47.2109243473724
45,4.5e-13,8.44492984848328e-19,-8.14335635300123e-18,-7.2988633681529e-18,47.2509678660409
46,4.6e-13,8.45364905469547e-19,-8.14291369963195e-18,-7.2975487941624e-18,47.2997534616516
47,4.7e-13,8.4637320324356e-19,-8.14331920805429e-18,-7.29694600481073e-18,47.3561696149816
48,4.8e-13,8.47449700219119e-19,-8.14480719105204e-18,-7.29735749083292e-18,47.4164016416682
49,4.9e-13,8.48498790952148e-19,-8.14571304569488e-18,-7.29721425474273e-18,47.4751002376356
