# mode: lj, integrator: verlet, N: 864, P: 4, dt: 1e-14, steps: 20000, n_steps: 20000, n_frames: 20001, step_indexing: 0..steps (includes initial frame), total_steps_executed: 20050, seed: 42, L: 3.47786e-09, rcut: 7.65e-10, target_temperature: 94.4, equilibration_steps: 50, production_steps: 20000, production_start_step: 0, final_rescale_before_production: true, final_rescale_applied: true, production_nve: true, gr_discard_steps: 200, gr_sample_every: 5, gr_start: 200, lattice: FCC, velocities: Box-Muller, timestamp: 2026-03-07T20:17:21Z
r_sigma,gr
0.01,0
0.03,0
0.05,0
0.07,0
0.09,0
0.11,0
0.13,0
0.15,0
0.17,0
0.19,0
0.21,0
0.23,0
0.25,0
0.27,0
0.29,0
0.31,0
0.33,0
0.35,0
0.37,0
0.39,0
0.41,0
0.43,0
0.45,0
0.47,0
0.49,0
0.51,0
0.53,0
0.55,0
0.57,0
0.59,0
0.61,0
0.63,0
0.65,0
0.67,0
0.69,0
0.71,0
0.73,0
0.75,0
0.77,0
0.79,0
0.81,0
0.83,0
0.85,0
0.87,3.8098e-06
0.89,0.000101934
0.91,0.0026883
0.93,0.0258626
0.95,0.13254
0.97,0.415982
0.99,0.909593
1.01,1.52879
1.03,2.12271
1.05,2.55824
1.07,2.79342
1.09,2.83818
1.11,2.74759
1.13,2.5743
1.15,2.35791
1.17,2.13456
1.19,1.92518
1.21,1.72541
1.23,1.549
1.25,1.39402
1.27,1.25852
1.29,1.14503
1.31,1.04926
1.33,0.964017
1.35,0.897164
1.37,0.836888
1.39,0.785884
1.41,0.745955
1.43,0.710637
1.45,0.683179
1.47,0.660071
1.49,0.643386
1.51,0.633484
1.53,0.627207
1.55,0.622883
1.57,0.62378
1.59,0.625782
1.61,0.633595
1.63,0.642956
1.65,0.658775
1.67,0.678359
1.69,0.701352
1.71,0.727159
1.73,0.757657
1.75,0.791516
1.77,0.826932
1.79,0.865815
1.81,0.904164
1.83,0.944967
1.85,0.981598
1.87,1.02022
1.89,1.05282
1.91,1.08999
1.93,1.1195
1.95,1.14849
1.97,1.17294
1.99,1.19701
2.01,1.2176
2.03,1.23404
2.05,1.2466
2.07,1.2526
2.09,1.25252
2.11,1.24885
2.13,1.2401
2.15,1.22373
2.17,1.2013
2.19,1.17938
2.21,1.15189
2.23,1.12323
2.25,1.09326
2.27,1.06476
2.29,1.03898
2.31,1.01213
2.33,0.98853
2.35,0.965112
2.37,0.943586
2.39,0.924586
2.41,0.908281
2.43,0.892499
2.45,0.882044
2.47,0.872744
2.49,0.86742
2.51,0.863286
2.53,0.861892
2.55,0.861865
2.57,0.865552
2.59,0.871718
2.61,0.877089
2.63,0.886204
2.65,0.897838
2.67,0.909019
2.69,0.923674
2.71,0.937226
2.73,0.951815
2.75,0.968815
2.77,0.983933
2.79,0.996281
2.81,1.01095
2.83,1.02361
2.85,1.03622
2.87,1.04783
2.89,1.05734
2.91,1.06592
2.93,1.07225
2.95,1.07681
2.97,1.08191
2.99,1.08315
3.01,1.08323
3.03,1.08206
3.05,1.07944
3.07,1.07468
3.09,1.07248
3.11,1.06628
3.13,1.06023
3.15,1.05337
3.17,1.04516
3.19,1.03709
3.21,1.02859
3.23,1.01881
3.25,1.01092
3.27,1.00279
3.29,0.994356
3.31,0.986455
3.33,0.980317
3.35,0.973186
3.37,0.967382
3.39,0.963043
3.41,0.958407
3.43,0.955429
3.45,0.952798
3.47,0.952467
3.49,0.949905
3.51,0.950979
3.53,0.95229
3.55,0.953391
3.57,0.956281
3.59,0.960488
3.61,0.963854
3.63,0.969534
3.65,0.974281
3.67,0.978263
3.69,0.985022
3.71,0.989991
3.73,0.995813
3.75,1.00217
3.77,1.0078
3.79,1.01197
3.81,1.01722
3.83,1.01972
3.85,1.0244
3.87,1.02711
3.89,1.02969
3.91,1.03245
3.93,1.03333
3.95,1.03214
3.97,1.03275
3.99,1.0322
4.01,1.03069
4.03,1.02851
4.05,1.02701
4.07,1.02378
4.09,1.02274
4.11,1.01889
4.13,1.0162
4.15,1.01261
4.17,1.00974
4.19,1.00719
4.21,1.00284
4.23,1.00014
4.25,0.997787
4.27,0.994053
4.29,0.991889
4.31,0.988648
4.33,0.986441
4.35,0.984858
4.37,0.98405
4.39,0.98237
4.41,0.982991
4.43,0.981283
4.45,0.981724
4.47,0.981088
4.49,0.982287
4.51,0.982634
4.53,0.98447
4.55,0.985861
4.57,0.987678
4.59,0.990277
4.61,0.991404
4.63,0.993918
4.65,0.995969
4.67,0.998167
4.69,1.00041
4.71,1.00289
4.73,1.00444
4.75,1.00641
4.77,1.00874
4.79,1.00953
4.81,1.01134
4.83,1.01165
4.85,1.01287
4.87,1.0123
4.89,1.01234
4.91,1.01306
4.93,1.01338
4.95,1.01275
4.97,1.01183
4.99,1.01206
5.01,1.01128
5.03,1.00998
5.05,1.00888
5.07,1.00813
5.09,1.00683
