# mode: lj, integrator: verlet, N: 864, P: 4, dt: 1e-14, steps: 20000, n_steps: 20000, n_frames: 20001, step_indexing: 0..steps (includes initial frame), total_steps_executed: 20050, seed: 42, L: 3.47786e-09, rcut: 7.65e-10, target_temperature: 94.4, equilibration_steps: 50, production_steps: 20000, production_start_step: 0, final_rescale_before_production: true, final_rescale_applied: true, production_nve: true, gr_discard_steps: 200, gr_sample_every: 5, gr_start: 200, startup_temperature_before_final_rescale: 94.3305, startup_temperature_after_final_rescale: 94.4, lattice: FCC, velocities: Box-Muller, timestamp: 2026-03-12T17:30:15Z
r_sigma,gr
0.01,0
0.03,0
0.05,0
0.07,0
0.09,0
0.11,0
0.13,0
0.15,0
0.17,0
0.19,0
0.21,0
0.23,0
0.25,0
0.27,0
0.29,0
0.31,0
0.33,0
0.35,0
0.37,0
0.39,0
0.41,0
0.43,0
0.45,0
0.47,0
0.49,0
0.51,0
0.53,0
0.55,0
0.57,0
0.59,0
0.61,0
0.63,0
0.65,0
0.67,0
0.69,0
0.71,0
0.73,0
0.75,0
0.77,0
0.79,0
0.81,0
0.83,0
0.85,0
0.87,0
0.89,0.000131058
0.91,0.00237489
0.93,0.0260726
0.95,0.133172
0.97,0.417508
0.99,0.909717
1.01,1.53002
1.03,2.11986
1.05,2.55241
1.07,2.78835
1.09,2.84093
1.11,2.74457
1.13,2.57867
1.15,2.36423
1.17,2.14014
1.19,1.92235
1.21,1.72601
1.23,1.54727
1.25,1.38974
1.27,1.25829
1.29,1.14607
1.31,1.04936
1.33,0.963353
1.35,0.895409
1.37,0.835527
1.39,0.783826
1.41,0.744212
1.43,0.713827
1.45,0.682756
1.47,0.662533
1.49,0.645847
1.51,0.633966
1.53,0.626745
1.55,0.621882
1.57,0.622196
1.59,0.625542
1.61,0.634445
1.63,0.646296
1.65,0.661173
1.67,0.679316
1.69,0.704863
1.71,0.729074
1.73,0.759265
1.75,0.793181
1.77,0.827574
1.79,0.865699
1.81,0.902122
1.83,0.942535
1.85,0.98185
1.87,1.02074
1.89,1.0551
1.91,1.08672
1.93,1.11743
1.95,1.1476
1.97,1.17126
1.99,1.19525
2.01,1.21577
2.03,1.23455
2.05,1.24455
2.07,1.25045
2.09,1.25313
2.11,1.24845
2.13,1.23744
2.15,1.22311
2.17,1.20467
2.19,1.17801
2.21,1.15263
2.23,1.12265
2.25,1.09483
2.27,1.0655
2.29,1.0381
2.31,1.01204
2.33,0.987589
2.35,0.96512
2.37,0.944017
2.39,0.9249
2.41,0.907688
2.43,0.89493
2.45,0.88265
2.47,0.873002
2.49,0.867582
2.51,0.864041
2.53,0.862641
2.55,0.864709
2.57,0.866974
2.59,0.872377
2.61,0.880089
2.63,0.888735
2.65,0.897917
2.67,0.909604
2.69,0.92253
2.71,0.937454
2.73,0.951328
2.75,0.967582
2.77,0.981206
2.79,0.995692
2.81,1.00956
2.83,1.02389
2.85,1.03571
2.87,1.04603
2.89,1.05506
2.91,1.0657
2.93,1.07253
2.95,1.0779
2.97,1.08109
2.99,1.08348
3.01,1.08285
3.03,1.08105
3.05,1.07961
3.07,1.077
3.09,1.07308
3.11,1.06673
3.13,1.0584
3.15,1.05127
3.17,1.04415
3.19,1.03589
3.21,1.02726
3.23,1.01917
3.25,1.01167
3.27,1.00263
3.29,0.995205
3.31,0.98637
3.33,0.978935
3.35,0.972804
3.37,0.968091
3.39,0.963797
3.41,0.959598
3.43,0.955691
3.45,0.952821
3.47,0.952425
3.49,0.951956
3.51,0.951733
3.53,0.952506
3.55,0.954633
3.57,0.95817
3.59,0.962287
3.61,0.965133
3.63,0.96958
3.65,0.974739
3.67,0.979766
3.69,0.984411
3.71,0.990123
3.73,0.99481
3.75,1.00082
3.77,1.00637
3.79,1.01109
3.81,1.0161
3.83,1.01958
3.85,1.02239
3.87,1.02579
3.89,1.029
3.91,1.03002
3.93,1.03159
3.95,1.03229
3.97,1.03219
3.99,1.03219
4.01,1.0316
4.03,1.02854
4.05,1.02854
4.07,1.02526
4.09,1.02245
4.11,1.0193
4.13,1.01538
4.15,1.01279
4.17,1.00989
4.19,1.00725
4.21,1.00273
4.23,0.999954
4.25,0.996845
4.27,0.993943
4.29,0.991956
4.31,0.989114
4.33,0.986775
4.35,0.985808
4.37,0.985147
4.39,0.983203
4.41,0.982487
4.43,0.981873
4.45,0.98194
4.47,0.98153
4.49,0.982443
4.51,0.982651
4.53,0.984026
4.55,0.986455
4.57,0.988623
4.59,0.990086
4.61,0.992209
4.63,0.993982
4.65,0.995678
4.67,0.997611
4.69,0.999508
4.71,1.00194
4.73,1.00401
4.75,1.00559
4.77,1.00754
4.79,1.00918
4.81,1.01064
4.83,1.01185
4.85,1.01177
4.87,1.01203
4.89,1.01297
4.91,1.01404
4.93,1.0129
4.95,1.01386
4.97,1.01249
4.99,1.01178
5.01,1.01094
5.03,1.0106
5.05,1.00912
5.07,1.00845
5.09,1.00671
