# mode: ho, integrator: euler, N: 1, P: 1, dt: 0.001, steps: 10000, n_steps: 10000, n_frames: 10001, step_indexing: 0..steps (includes initial frame), total_steps_executed: 10000, seed: 42, L: 10000000000, rcut: 7.65e-10, target_temperature: 94.4, equilibration_steps: 0, production_steps: 10000, production_start_step: 0, final_rescale_before_production: true, final_rescale_applied: false, production_nve: false, gr_discard_steps: 200, gr_sample_every: 5, gr_start: 200, timestamp: 2026-03-12T20:25:38Z
step,time,x,v,E_kin,E_pot,E_total
0,0,1,0,0,3.34521325e-26,3.34521325e-26
1,0.001,1,-0.001,3.34521325e-32,3.34521325e-26,3.34521659521325e-26
2,0.002,0.999999,-0.002,1.3380853e-31,3.34520655957684e-26,3.34521994042984e-26
3,0.003,0.999997,-0.002999999,3.01068991787238e-31,3.34519317875061e-26,3.34522328564979e-26
4,0.004,0.999994000001,-0.003999996,5.35233049532295e-31,3.34517310756812e-26,3.34522663087307e-26
5,0.005,0.999990000005,-0.004999990000001,8.3629996729043e-31,3.34514634610297e-26,3.3452299760997e-26
6,0.006,0.999985000015,-0.005999980000006,1.20426874150399e-30,3.34511289445553e-26,3.34523332132968e-26
7,0.007,0.999979000035,-0.006999965000021,1.63913810100589e-30,3.3450727527529e-26,3.345236666563e-26
8,0.008,0.99997200007,-0.007999944000056,2.14090650702416e-30,3.34502592114896e-26,3.34524001179967e-26
9,0.009,0.999964000126,-0.008999916000126,2.70957215318757e-30,3.34497239982436e-26,3.34524335703968e-26
10,0.01,0.99995500021,-0.009999880000252,3.34513296553231e-30,3.34491218898648e-26,3.34524670228304e-26
11,0.011,0.99994500033,-0.010999835000462,4.04758660250976e-30,3.34484528886949e-26,3.34525004752974e-26
12,0.012,0.999934000494999,-0.011999780000792,4.81693045499533e-30,3.34477169973429e-26,3.34525339277979e-26
13,0.013,0.999922000714998,-0.012999714001287,5.65316164629833e-30,3.34469142186855e-26,3.34525673803318e-26
14,0.014,0.999909001000997,-0.013999636002002,6.55627703217297e-30,3.3446044555867e-26,3.34526008328992e-26
15,0.015,0.999895001364995,-0.014999545003003,7.5262732008304e-30,3.34451080122992e-26,3.34526342855e-26
16,0.016,0.999880001819992,-0.015999440004368,8.56314647295181e-30,3.34441045916613e-26,3.34526677381343e-26
17,0.017,0.999864002379988,-0.016999320006188,9.66689290170262e-30,3.34430342979003e-26,3.3452701190802e-26
18,0.018,0.999847003059981,-0.017999184008568,1.08375082727477e-29,3.34418971352305e-26,3.34527346435032e-26
