# mode: ho, integrator: rk4, N: 1, P: 1, dt: 0.05, steps: 200, n_steps: 200, n_frames: 201, step_indexing: 0..steps (includes initial frame), total_steps_executed: 200, seed: 42, L: 10000000000, rcut: 7.65e-10, target_temperature: 94.4, equilibration_steps: 0, production_steps: 200, production_start_step: 0, final_rescale_before_production: true, final_rescale_applied: false, production_nve: false, gr_discard_steps: 200, gr_sample_every: 5, gr_start: 200, timestamp: 2026-03-12T20:53:25Z
step,time,x,v,E_kin,E_pot,E_total
0,0,1,0,0,3.34521325e-26,3.34521325e-26
1,0.05,0.998750260416667,-0.0499791666666667,8.35606538264464e-29,3.33685718389162e-26,3.34521324927427e-26
2,0.1,0.995004165581665,-0.0998334114474827,3.3340770488872e-28,3.31187247805967e-26,3.34521324854854e-26
3,0.15,0.98877107878072,-0.149438124707091,7.47044764192788e-28,3.27050877140353e-26,3.34521324782281e-26
4,0.2,0.980066579483623,-0.198669320508947,1.32033890729566e-27,3.21317935636751e-26,3.34521324709708e-26
5,0.25,0.96891242440367,-0.247403946515555,2.04756196911667e-27,3.14045704945968e-26,3.34521324637135e-26
6,0.3,0.955336493117218,-0.295520191555197,2.9214477778642e-27,3.0530684678592e-26,3.34521324564562e-26
7,0.35,0.939372718379264,-0.34289779008639,3.93326475621546e-27,2.95188676929834e-26,3.34521324491988e-26
8,0.4,0.921061001309242,-0.389418322799079,5.07290316434236e-27,2.83792292775992e-26,3.34521324419415e-26
9,0.45,0.900447111659013,-0.434965512601203,6.32897611308012e-27,2.71231563216041e-26,3.34521324346842e-26
10,0.5,0.877582573412327,-0.479425515250845,7.68893333794846e-27,2.57631990894785e-26,3.34521324274269e-26
11,0.55,0.852524536001715,-0.522687203907513,9.13918659723321e-27,2.43129458229364e-26,3.34521324201696e-26
12,0.6,0.825335631464683,-0.56464244689134,1.06652454411921e-26,2.27868869717202e-26,3.34521324129123e-26
13,0.65,0.79608381789625,-0.605186377955942,1.22518619958241e-26,2.12002704098309e-26,3.3452132405655e-26
14,0.7,0.764842209589117,-0.644217658399389,1.38831833145703e-26,1.95689490838274e-26,3.34521323983977e-26
15,0.75,0.731688894286037,-0.681638730358161,1.55429097756998e-26,1.79092226154405e-26,3.34521323911404e-26
16,0.8,0.696706738001137,-0.71735606065097,1.72144579427252e-26,1.62376744411579e-26,3.34521323838831e-26
17,0.85,0.659983177898063,-0.751280374562979,1.88811262606008e-26,1.45710061160249e-26,3.34521323766258e-26
18,0.9,0.621610003742631,-0.78332687898607,2.05262619321229e-26,1.29258704372455e-26,3.34521323693684e-26
19,0.95,0.581683128476233,-0.813415474357432,2.21334273071571e-26,1.1318705054954e-26,3.34521323621111e-26
20,1,0.540302348483464,-0.841470954866734,2.36865641221879e-26,9.76556823266589e-27,3.34521323548538e-26
21,1.05,0.497571094153152,-0.867423196431458,2.51701539491626e-26,8.28197839843393e-27,3.34521323475965e-26
22,1.1,0.453596171356286,-0.891207331970572,2.65693732504781e-26,6.88275908986108e-27,3.34521323403392e-26
23,1.15,0.408487494486981,-0.912763913538429,2.78702414908534e-26,5.5818908422285e-27,3.34521323330819e-26
24,1.2,0.362357811733768,-0.932039060913656,2.90597608262013e-26,4.39237149962331e-27,3.34521323258246e-26
25,1.25,0.315322423267867,-0.94898459627163,3.01260459737764e-26,3.32608634479093e-27,3.34521323185673e-26
26,1.3,0.267498893052837,-0.963558164603938,3.10584429659785e-26,2.39368934533153e-27,3.345213231131e-26
27,1.35,0.219006754995924,-0.975723339583825,3.18476356012636e-26,1.6044967027891e-27,3.34521323040527e-26
28,1.4,0.169967214175571,-0.985449714613032,3.24857385285399e-26,9.66393768255453e-28,3.34521322967954e-26
29,1.45,0.120502843891884,-0.992712978822445,3.29663760349806e-26,4.85756254557469e-28,3.34521322895381e-26
30,1.5,0.0707372792972374,-0.997494977836602,3.32847457500314e-26,1.67386532249377e-28,3.34521322822807e-26
31,1.55,0.0207949083728239,-0.999783759150166,3.34376666291041e-26,1.44656459192989e-29,3.34521322750234e-26
32,1.6,-0.0291994389764941,-0.999573602002966,3.34236107375189e-26,2.8521530247262e-29,3.34521322677661e-26
33,1.65,-0.0791208029319007,-0.996865031678909,3.32427185171196e-26,2.09413743389247e-28,3.34521322605088e-26
34,1.7,-0.128844406095064,-0.991664818193045,3.28967973830253e-26,5.55334870226249e-28,3.34521322532515e-26
35,1.75,-0.178245965366615,-0.983985959370057,3.23893036645367e-26,1.06282858145754e-27,3.34521322459942e-26
36,1.8,-0.227202002589143,-0.973847648356469,3.17253080706393e-26,1.72682416809763e-27,3.34521322387369e-26
37,1.85,-0.275590153178244,-0.961275225647778,3.09114450251598e-26,2.54068720631975e-27,3.34521322314796e-26
38,1.9,-0.323289471970229,-0.946300115750421,2.99558463778028e-26,3.49628584641943e-27,3.34521322242223e-26
39,1.95,-0.370180735522009,-0.928959748636876,2.88680601534041e-26,4.58407206356088e-27,3.3452132216965e-26
40,2,-0.416146740107587,-0.909297466190238,2.76589551512319e-26,5.79317705847572e-27,3.34521322097077e-26
41,2.05,-0.461072594666299,-0.887362413872088,2.63406123475486e-26,7.1115198549017e-27,3.34521322024503e-26
42,2.1,-0.504846007970603,-0.86320941788445,2.49262041865009e-26,8.5259280086921e-27,3.3452132195193e-26
43,2.15,-0.547357569295637,-0.83689884813285,2.34298629654256e-26,1.00222692225101e-26,3.34521321879357e-26
44,2.2,-0.588501021889025,-0.808496467333004,2.18665396296204e-26,1.15855925510581e-26,3.34521321806784e-26
45,2.25,-0.628173528557385,-0.778073266638298,2.02518543874557e-26,1.32002777859655e-26,3.34521321734211e-26
46,2.3,-0.666275928705738,-0.745705288198889,1.86019406384321e-26,1.48501915277317e-26,3.34521321661638e-26
47,2.35,-0.702712986187319,-0.711473435095953,1.69332837736022e-26,1.65188483853043e-26,3.34521321589065e-26
48,2.4,-0.737393627344325,-0.675463269126137,1.52625564590092e-26,1.818957569264e-26,3.34521321516492e-26
49,2.45,-0.770231168644602,-0.637764796941642,1.36064520479365e-26,1.98456800964553e-26,3.34521321443919e-26
50,2.5,-0.801143533345309,-0.598472245080497,1.19815177864576e-26,2.1470614350677e-26,3.34521321371346e-26
51,2.55,-0.830053456642008,-0.557683824449307,1.04039894788394e-26,2.30481426510378e-26,3.34521321298773e-26
52,2.6,-0.856888678790416,-0.515501484847154,8.88962926477103e-27,2.45625028578489e-26,3.345213212262e-26
53,2.65,-0.881582125718111,-0.472030660144227,7.45356812929005e-27,2.59985639860726e-26,3.34521321153627e-26
