kind,P,N,rep,wall_s,comm_max_s
size,16,108,1,0.035946,0.019738
size,16,108,2,0.037080,0.019979
size,16,108,3,0.038832,0.022055
size,16,108,4,0.036810,0.019315
size,16,108,5,0.037339,0.019440
size,16,108,6,0.036822,0.019609
size,16,108,7,0.035892,0.018326
size,16,108,8,0.037091,0.019835
size,16,108,9,0.036377,0.019474
size,16,108,10,0.037810,0.021007
size,16,108,11,0.036981,0.019663
size,16,256,1,0.110827,0.027021
size,16,256,2,0.110687,0.026273
size,16,256,3,0.110899,0.025689
size,16,256,4,0.111363,0.025185
size,16,256,5,0.111288,0.027686
size,16,256,6,0.111773,0.027095
size,16,256,7,0.110382,0.026619
size,16,256,8,0.120266,0.046699
size,16,256,9,0.110297,0.026080
size,16,256,10,0.110273,0.025992
size,16,256,11,0.110321,0.026235
size,16,500,1,0.380717,0.074933
size,16,500,2,0.377127,0.066256
size,16,500,3,0.379885,0.073693
size,16,500,4,0.371890,0.066564
size,16,500,5,0.375984,0.069971
size,16,500,6,0.372644,0.066677
size,16,500,7,0.382781,0.076790
size,16,500,8,0.375437,0.064450
size,16,500,9,0.395085,0.089573
size,16,500,10,0.375874,0.068400
size,16,500,11,0.375145,0.067502
size,16,864,1,1.049542,0.181427
size,16,864,2,1.047058,0.176609
size,16,864,3,1.022753,0.155597
size,16,864,4,1.026156,0.156842
size,16,864,5,1.020413,0.153001
size,16,864,6,1.039437,0.175255
size,16,864,7,1.031617,0.161490
size,16,864,8,1.050551,0.181087
size,16,864,9,1.036951,0.169442
size,16,864,10,1.046998,0.176309
size,16,864,11,1.032650,0.166612
size,16,1372,1,2.442461,0.304771
size,16,1372,2,2.410144,0.267965
size,16,1372,3,2.454375,0.843758
size,16,1372,4,2.405756,0.789080
size,16,1372,5,2.410024,0.819251
size,16,1372,6,2.394372,0.807819
size,16,1372,7,2.398898,0.797398
size,16,1372,8,2.357661,0.751255
size,16,1372,9,2.386696,0.772010
size,16,1372,10,2.403169,0.786124
size,16,1372,11,2.427738,0.836380
size,16,2048,1,4.730144,1.301270
size,16,2048,2,4.010670,0.742130
size,16,2048,3,3.884816,0.588583
size,16,2048,4,4.771787,1.439836
size,16,2048,5,4.016341,0.777704
size,16,2048,6,4.080848,0.840300
size,16,2048,7,4.039852,0.729735
size,16,2048,8,4.181822,0.938469
size,16,2048,9,3.972720,0.675181
size,16,2048,10,3.947605,0.693859
size,16,2048,11,3.926742,0.677478
