kind,P,N,rep,wall_s,comm_max_s
strong,1,2048,1,55.689303,0.001464
strong,1,2048,2,56.028933,0.001447
strong,1,2048,3,56.030601,0.001482
strong,1,2048,4,55.857128,0.001445
strong,1,2048,5,55.117714,0.001407
strong,1,2048,6,56.927057,0.001429
strong,1,2048,7,55.988769,0.001470
strong,1,2048,8,56.080209,0.001442
strong,1,2048,9,56.171027,0.001467
strong,1,2048,10,55.774734,0.001458
strong,1,2048,11,55.880954,0.001454
strong,2,2048,1,28.095247,0.981342
strong,2,2048,2,28.153803,1.059209
strong,2,2048,3,28.190751,0.969878
strong,2,2048,4,27.788295,0.357038
strong,2,2048,5,27.916985,0.633421
strong,2,2048,6,28.098550,0.720610
strong,2,2048,7,27.759409,0.184261
strong,2,2048,8,27.447217,0.340280
strong,2,2048,9,27.862579,0.495100
strong,2,2048,10,27.950376,0.905220
strong,2,2048,11,28.034249,0.780134
strong,4,2048,1,14.703136,1.143188
strong,4,2048,2,14.436746,1.026852
strong,4,2048,3,14.035122,0.531363
strong,4,2048,4,14.226448,0.691105
strong,4,2048,5,14.197260,0.632569
strong,4,2048,6,14.498820,1.008210
strong,4,2048,7,14.875872,1.357863
strong,4,2048,8,14.920533,1.539455
strong,4,2048,9,14.014988,0.787329
strong,4,2048,10,13.933538,0.572167
strong,4,2048,11,14.167050,0.812096
strong,8,2048,1,7.946605,1.260891
strong,8,2048,2,7.280881,0.780541
strong,8,2048,3,7.349538,0.755595
strong,8,2048,4,7.322604,0.834816
strong,8,2048,5,7.281762,0.637630
strong,8,2048,6,7.356779,0.841832
strong,8,2048,7,7.558029,0.939652
strong,8,2048,8,7.239194,0.570779
strong,8,2048,9,7.750624,1.079230
strong,8,2048,10,7.606884,0.857758
strong,8,2048,11,7.559708,0.774641
strong,16,2048,1,4.864037,1.450640
strong,16,2048,2,4.058402,0.779469
strong,16,2048,3,4.070712,0.784146
strong,16,2048,4,4.011045,0.695505
strong,16,2048,5,3.939627,0.668614
strong,16,2048,6,4.143738,0.861404
strong,16,2048,7,4.095194,0.759594
strong,16,2048,8,3.981181,0.705997
strong,16,2048,9,3.838672,0.541515
strong,16,2048,10,4.488613,1.164450
strong,16,2048,11,4.048916,0.775616
strong,24,2048,1,3.401465,1.094257
strong,24,2048,2,3.436527,1.102410
strong,24,2048,3,3.398817,1.055107
strong,24,2048,4,3.397236,1.011843
strong,24,2048,5,3.311809,1.000371
strong,24,2048,6,2.834200,0.522043
strong,24,2048,7,3.358760,1.023366
strong,24,2048,8,3.461443,1.128129
strong,24,2048,9,3.441336,1.096699
strong,24,2048,10,3.370912,1.040322
strong,24,2048,11,3.101689,0.655008
strong,32,2048,1,2.684459,0.840984
strong,32,2048,2,2.659759,0.817343
strong,32,2048,3,2.583884,0.696595
strong,32,2048,4,2.654852,0.751554
strong,32,2048,5,2.730839,0.850093
strong,32,2048,6,2.707515,0.861581
strong,32,2048,7,2.711834,0.877316
strong,32,2048,8,2.607927,0.742601
strong,32,2048,9,2.745420,0.906280
strong,32,2048,10,2.599023,0.687315
strong,32,2048,11,2.636597,0.734186
