# mode: ho, integrator: verlet, N: 1, P: 1, dt: 0.01, steps: 1000, n_steps: 1000, n_frames: 1001, step_indexing: 0..steps (includes initial frame), total_steps_executed: 1000, seed: 42, L: 10000000000, rcut: 7.65e-10, target_temperature: 94.4, equilibration_steps: 0, production_steps: 1000, production_start_step: 0, final_rescale_before_production: true, final_rescale_applied: false, production_nve: false, gr_discard_steps: 200, gr_sample_every: 5, gr_start: 200, timestamp: 2026-03-12T21:34:16Z
step,time,x,v,E_kin,E_pot,E_total
0,0,1,0,0,3.34521325e-26,3.34521325e-26
1,0.01,0.99995,-0.00999975,3.34504599142826e-30,3.34487873703803e-26,3.34521324163718e-26
2,0.02,0.999800005,-0.019998500025,1.33788459807669e-29,3.34387533195397e-26,3.34521321655205e-26
3,0.03,0.9995500299995,-0.0299952501999975,3.00973865483582e-29,3.34220343609982e-26,3.34521317475465e-26
4,0.04,0.999200099996,-0.039989000849975,5.34939804451606e-29,3.33986371821719e-26,3.34521311626171e-26
5,0.05,0.998750249982501,-0.0499787525998675,8.35592692675812e-29,3.33685711416985e-26,3.3452130410966e-26
6,0.06,0.998200524944003,-0.0599635064745,1.20281227200744e-28,3.33318482656934e-26,3.34521294928941e-26
7,0.07,0.997550979853011,-0.0699422639984851,1.63645165828695e-28,3.32884832429399e-26,3.34521284087686e-26
8,0.08,0.996801679664033,-0.0799140272960703,2.13633740009623e-28,3.32384934190134e-26,3.3452127159023e-26
9,0.09,0.995952699307089,-0.0898777991909259,2.70226954813741e-28,3.31818987893435e-26,3.34521257441572e-26
10,0.1,0.995004123680215,-0.0998325833058624,3.3340217352106e-28,3.31187219912162e-26,3.34521241647373e-26
11,0.11,0.993956047640972,-0.109777384162468,4.03134126675849e-28,3.3048988294719e-26,3.34521224213949e-26
12,0.12,0.992808575996965,-0.119711207280658,4.79394922194165e-28,3.29727255926332e-26,3.34521205148273e-26
13,0.13,0.991561823495359,-0.12963305927812,5.62154056520409e-28,3.28899643892768e-26,3.34521184457972e-26
14,0.14,0.990215914811403,-0.139541947969653,6.51378426828441e-28,3.28007377883038e-26,3.34521162151322e-26
15,0.15,0.988770984535966,-0.14943688246639,7.47032344262384e-28,3.27050814794621e-26,3.34521138237245e-26
16,0.16,0.987227177162075,-0.159316873274881,8.49077548211801e-28,3.26030337243188e-26,3.34521112725306e-26
17,0.17,0.985584647070468,-0.169180932396043,9.57473221615566e-28,3.24946353409555e-26,3.3452108562571e-26
18,0.18,0.983843558514154,-0.179028073423966,1.07217600728827e-27,3.23799296876414e-26,3.34521056949297e-26
19,0.19,0.982004085601989,-0.188857311644547,1.19314002526268e-27,3.2258962645491e-26,3.34521026707536e-26
20,0.2,0.980066412281263,-0.198667664133963,1.32031689114124e-27,3.21317826001113e-26,3.34520994912525e-26
21,0.21,0.978030732319309,-0.208458149856966,1.45365573544937e-27,3.19984404222487e-26,3.34520961576981e-26
22,0.22,0.975897249284124,-0.218227789764983,1.59310322398273e-27,3.1858989447441e-26,3.34520926714237e-26
23,0.23,0.97366617652401,-0.227975606894024,1.73860357914039e-27,3.17134854546835e-26,3.34520890338239e-26
24,0.24,0.971337737146243,-0.237700626462375,1.89009860223529e-27,3.15619866441183e-26,3.34520852463536e-26
25,0.25,0.968912163994762,-0.24740187596808,2.04752769677313e-27,3.14045536137547e-26,3.34520813105278e-26
26,0.26,0.966389699626882,-0.257078385286188,2.2108278926904e-27,3.12412493352305e-26,3.34520772279209e-26
27,0.27,0.963770596289039,-0.266729186765768,2.37993387154172e-27,3.1072139128624e-26,3.34520730001657e-26
28,0.28,0.961055115891566,-0.276353315326671,2.55477799262663e-27,3.08972906363268e-26,3.34520686289534e-26
29,0.29,0.958243529982505,-0.285949808556041,2.73529032004512e-27,3.07167737959873e-26,3.34520641160324e-26
30,0.3,0.955336119720446,-0.295517706804556,2.92139865067135e-27,3.05306608125365e-26,3.34520594632078e-26
31,0.31,0.952333175846414,-0.30505605328239,3.11302854303416e-27,3.03390261293066e-26,3.34520546723407e-26
32,0.32,0.949234998654798,-0.314563894154896,3.31010334709289e-27,3.01419463982546e-26,3.34520497453475e-26
33,0.33,0.946041897963316,-0.324040278637987,3.51254423489668e-27,2.99395004493021e-26,3.34520446841987e-26
34,0.34,0.942754193082038,-0.333484259093214,3.72027023211481e-27,2.97317692588042e-26,3.3452039490919e-26
35,0.35,0.939372212781452,-0.342894891122531,3.93319825042565e-27,2.95188359171598e-26,3.34520341675854e-26
36,0.36,0.935896295259588,-0.352271233662736,4.15124312075116e-27,2.93007855955762e-26,3.34520287163274e-26
37,0.37,0.932326788108197,-0.361612349079575,4.37431762732366e-27,2.90777055120016e-26,3.34520231393253e-26
38,0.38,0.928664048277996,-0.370917303261506,4.60233254257126e-27,2.88496848962387e-26,3.34520174388099e-26
39,0.39,0.924908442042967,-0.380185165713111,4.83519666280801e-27,2.86168149542534e-26,3.34520116170614e-26
40,0.4,0.921060344963734,-0.389415009648145,5.07281684471447e-27,2.83791888316938e-26,3.34520056764083e-26
41,0.41,0.917120141850004,-0.398605912082213,5.31509804259406e-27,2.81369015766329e-26,3.34519996192269e-26
42,0.42,0.913088226722089,-0.407756953925074,5.56194334639045e-27,2.78900501015496e-26,3.345199344794e-26
43,0.43,0.908965002771503,-0.416867220072542,5.81325402045058e-27,2.76387331445655e-26,3.34519871650161e-26
44,0.44,0.904750882320639,-0.425935799498002,6.06892954301792e-27,2.73830512299503e-26,3.34519807729683e-26
45,0.45,0.900446286781543,-0.434961785343513,6.32886764644021e-27,2.7123106627913e-26,3.34519742743532e-26
46,0.46,0.896051646613768,-0.44394427501049,6.59296435807546e-27,2.68590033136949e-26,3.34519676717703e-26
47,0.47,0.891567401281333,-0.452882370249965,6.86111404187997e-27,2.65908469259807e-26,3.34519609678606e-26
48,0.48,0.886993999208769,-0.461775177252416,7.13320944066173e-27,2.63187447246439e-26,3.34519541653056e-26
49,0.49,0.882331897736284,-0.470621806737141,7.40914171898218e-27,2.6042805547844e-26,3.34519472668262e-26
50,0.5,0.877581563074026,-0.479421374041193,7.68880050668931e-27,2.57631397684924e-26,3.34519402751817e-26
51,0.51,0.872743470255461,-0.48817299920784,7.97207394306462e-27,2.54798592501041e-26,3.34519331931688e-26
52,0.52,0.867818103089869,-0.496875807074567,8.2588487215663e-27,2.51930773020537e-26,3.34519260236201e-26
53,0.53,0.862805954113969,-0.505528927360586,8.5490101351507e-27,2.49029086342527e-26,3.34519187694034e-26
